지점,지점명,일시,평균기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C)
90,속초,2020-01,3.4,148.1,58.6,,,20200107,,,2.1,9.7,16.4,340,360,20200108,20200108,270,4.6,3.3,163.3,53.52,,2.3,,
90,속초,2020-02,4.1,55.8,24.1,,,20200225,,,2,8.4,16.5,270,290,20200216,20200222,270,4.2,2.8,194.1,62.11,,3.8,,
90,속초,2020-03,7.9,38,20.7,,,20200310,,,2.4,8.7,19.8,270,290,20200319,20200319,270,3.5,2.1,263.7,71,,8.6,,
90,속초,2020-04,11.3,38.4,18.1,6.7,2.9,20200419,20200419,20200418,2.5,10.1,17.5,360,270,20200404,20200422,270,3.9,2.4,256,64.55,,13.9,,
90,속초,2020-05,17.1,245.1,140,25.8,5.3,20200519,20200519,20200519,2.2,9.6,19.2,270,270,20200511,20200511,140,5.9,4.1,218.5,49.42,,20,,
90,속초,2020-06,22.2,271.9,214.6,30.9,9.9,20200630,20200630,20200630,2.2,9.3,16.3,360,360,20200630,20200630,140,5.3,3.1,238.7,53.85,,28.2,,
90,속초,2020-07,21.6,374.7,115.5,35.9,8,20200724,20200724,20200724,1.9,8.6,16.3,90,70,20200724,20200724,140,6.9,4.3,168.5,37.41,,25.4,,
90,속초,2020-08,25.7,411.3,127.9,31.3,8.4,20200805,20200804,20200804,1.4,9.1,12.3,360,160,20200806,20200827,140,7.2,4.2,128.4,30.43,,26.8,,
90,속초,2020-09,20.1,482.8,192.5,51.8,12.7,20200907,20200902,20200902,2.2,10.2,20.9,50,270,20200903,20200903,270,6.2,4.2,152.5,40.91,,21.3,,
90,속초,2020-10,14.3,0,0,0,0,20201013,20201013,20201013,1.7,6.4,13.6,360,360,20201014,20201005,270,3.9,2.1,231.3,66.66,,16,,
90,속초,2020-11,10,19.2,15.3,,,20201119,,,2,8.2,18.2,230,290,20201120,20201119,270,3.5,2.3,204.5,67.38,,10,,
90,속초,2020-12,1.8,.5,.5,,,20201213,,,2.1,7.8,17.4,290,270,20201231,20201231,270,2.4,1.5,228.4,77.08,,1.6,,
93,북춘천,2020-01,-.7,55.9,37.5,,,20200107,,,1,5.9,11.4,50,230,20200127,20200120,20,4.7,2.8,187.4,61.24,278.76,0,-.6,.2
93,북춘천,2020-02,.7,35.3,19.4,,,20200225,,,1.2,8.6,13.3,250,250,20200222,20200222,200,4.5,3.4,183.5,58.61,331.85,2.6,1.8,2.6
93,북춘천,2020-03,6.1,13.7,7,,,20200310,,,1.5,9.6,20.1,230,230,20200319,20200319,200,3.9,2.7,238.5,64.18,509.82,8.7,7.3,7.9
93,북춘천,2020-04,9.7,17,10.2,4.1,1.1,20200417,20200417,20200417,1.9,9.5,15.9,250,230,20200421,20200421,200,3.6,2.4,257.6,65,605.88,14.2,12.1,12.6
93,북춘천,2020-05,17.4,122.2,40.5,13,6.3,20200509,20200518,20200518,1.5,8.7,17.6,70,70,20200518,20200518,200,6.2,4.4,193.7,43.89,583.23,21.5,19.3,19.4
93,북춘천,2020-06,23.5,79.1,45.1,11.6,2.3,20200624,20200624,20200624,1.5,7.9,18.9,200,70,20200615,20200630,200,5.7,3.2,225.2,50.85,650.42,30.1,26.8,26.8
93,북춘천,2020-07,23.3,183.6,60.9,17,5.6,20200723,20200714,20200722,1.3,10.5,18.4,70,90,20200723,20200723,20,7.6,5.4,140.4,31.24,511.36,26.5,25.4,25.7
93,북춘천,2020-08,25.6,821.2,188.5,72.5,18.8,20200803,20200803,20200803,1,7.3,12.7,160,160,20200827,20200827,230,8.3,6.7,92.3,21.92,356.98,27.1,26.9,27.2
93,북춘천,2020-09,19,153.1,43.1,11.4,6.7,20200903,20200903,20200916,1.3,11.2,17.2,340,340,20200903,20200903,20,6.5,4.3,162.6,43.64,421.25,21.4,21.4,21.7
93,북춘천,2020-10,10.9,.3,.2,.2,.2,20201002,20201002,20201002,.9,8.1,14.1,110,110,20201009,20201009,230,4.3,2.1,221.5,63.72,420.29,14.6,14.3,15
93,북춘천,2020-11,5.3,75.2,62.8,,,20201119,,,1.2,7.3,14.3,200,290,20201119,20201103,200,3.9,2.9,181.1,59.51,287.49,6.9,7.1,7.8
93,북춘천,2020-12,-3.6,4.8,4.5,,,20201213,,,.9,6.1,11.7,340,320,20201219,20201213,20,3.5,2.5,197.9,66.5,268.95,-2.2,-1.2,-.4
95,철원,2020-01,-1.2,79.7,52.3,,,20200107,,,1.1,6,10.9,360,200,20200107,20200120,20,4.8,3.1,179.8,58.87,254.72,-.3,,
95,철원,2020-02,0,46.8,14.1,,,20200216,,,1.1,6.6,12.2,20,50,20200225,20200225,200,4.9,3.7,180.2,57.65,295.28,2.4,,
95,철원,2020-03,5.5,16.9,9.3,,,20200310,,,1.4,7.5,19.7,290,340,20200319,20200319,200,3.7,2.6,258.7,69.66,496.47,7.6,,
95,철원,2020-04,9.1,20.9,12,5.9,2.4,20200417,20200417,20200425,1.7,7.7,15.1,50,20,20200401,20200401,200,3.3,1.6,288.8,72.84,600.33,13.5,,
95,철원,2020-05,16.9,161.7,57.3,15.3,4.9,20200518,20200518,20200524,1.4,6.6,15.6,20,270,20200519,20200518,230,6.4,4.4,241.9,54.73,564.06,20.5,,
95,철원,2020-06,22.5,92.2,46.3,13.3,11.9,20200624,20200627,20200627,1.4,7.5,13.8,360,340,20200627,20200630,230,5.7,3,267.3,60.33,644.17,27.5,,
