지점,지점명,일시,평균기온(°C)
90,속초,2020-01,3.4
90,속초,2020-02,4.1
90,속초,2020-03,7.9
90,속초,2020-04,11.3
90,속초,2020-05,17.1
90,속초,2020-06,22.2
90,속초,2020-07,21.6
90,속초,2020-08,25.7
90,속초,2020-09,20.1
90,속초,2020-10,14.3
90,속초,2020-11,10.0
90,속초,2020-12,1.8
93,북춘천,2020-01,-0.7
93,북춘천,2020-02,0.7
93,북춘천,2020-03,6.1
93,북춘천,2020-04,9.7
93,북춘천,2020-05,17.4
93,북춘천,2020-06,23.5
93,북춘천,2020-07,23.3
93,북춘천,2020-08,25.6
93,북춘천,2020-09,19.0
93,북춘천,2020-10,10.9
93,북춘천,2020-11,5.3
93,북춘천,2020-12,-3.6
95,철원,2020-01,-1.2
95,철원,2020-02,0.0
95,철원,2020-03,5.5
95,철원,2020-04,9.1
95,철원,2020-05,16.9
95,철원,2020-06,22.5
95,철원,2020-07,22.8
95,철원,2020-08,25.1
95,철원,2020-09,18.8
95,철원,2020-10,10.9
95,철원,2020-11,5.0
95,철원,2020-12,-3.9
98,동두천,2020-01,0.0
98,동두천,2020-02,1.2
98,동두천,2020-03,6.7
98,동두천,2020-04,10.2
98,동두천,2020-05,17.1
98,동두천,2020-06,22.8
98,동두천,2020-07,23.0
98,동두천,2020-08,25.3
98,동두천,2020-09,19.5
98,동두천,2020-10,12.0
98,동두천,2020-11,6.3
98,동두천,2020-12,-2.2
99,파주,2020-01,-0.6
99,파주,2020-02,0.6
99,파주,2020-03,5.7
99,파주,2020-04,9.3
99,파주,2020-05,16.4
99,파주,2020-06,22.0
99,파주,2020-07,22.7
99,파주,2020-08,25.2
99,파주,2020-09,19.3
99,파주,2020-10,11.2
99,파주,2020-11,5.4
99,파주,2020-12,-3.3
100,대관령,2020-01,-3.2
100,대관령,2020-02,-2.7
100,대관령,2020-03,2.1
100,대관령,2020-04,4.8
100,대관령,2020-05,12.8
100,대관령,2020-06,18.7
100,대관령,2020-07,17.9
100,대관령,2020-08,22.2
100,대관령,2020-09,14.7
100,대관령,2020-10,7.9
100,대관령,2020-11,3.4
100,대관령,2020-12,-5.4
101,춘천,2020-01,-0.1
101,춘천,2020-02,1.4
101,춘천,2020-03,7.0
101,춘천,2020-04,10.5
101,춘천,2020-05,18.1
101,춘천,2020-06,24.2
101,춘천,2020-07,23.8
101,춘천,2020-08,26.1
101,춘천,2020-09,19.7
101,춘천,2020-10,11.9
101,춘천,2020-11,6.1
101,춘천,2020-12,-2.7
102,백령도,2020-01,2.8
102,백령도,2020-02,2.7
102,백령도,2020-03,6.1
102,백령도,2020-04,9.4
102,백령도,2020-05,13.7
102,백령도,2020-06,18.9
102,백령도,2020-07,21.0
102,백령도,2020-08,23.8
102,백령도,2020-09,20.4
102,백령도,2020-10,15.1
102,백령도,2020-11,9.4
102,백령도,2020-12,2.4
104,북강릉,2020-01,3.5
104,북강릉,2020-02,4.1
104,북강릉,2020-03,8.0
104,북강릉,2020-04,10.8
