지점,지점명,일시,평균지면온도(°C)
90,속초,2020-01,2.3
90,속초,2020-02,3.8
90,속초,2020-03,8.6
90,속초,2020-04,13.9
90,속초,2020-05,20.0
90,속초,2020-06,28.2
90,속초,2020-07,25.4
90,속초,2020-08,26.8
90,속초,2020-09,21.3
90,속초,2020-10,16.0
90,속초,2020-11,10.0
90,속초,2020-12,1.6
93,북춘천,2020-01,0.0
93,북춘천,2020-02,2.6
93,북춘천,2020-03,8.7
93,북춘천,2020-04,14.2
93,북춘천,2020-05,21.5
93,북춘천,2020-06,30.1
93,북춘천,2020-07,26.5
93,북춘천,2020-08,27.1
93,북춘천,2020-09,21.4
93,북춘천,2020-10,14.6
93,북춘천,2020-11,6.9
93,북춘천,2020-12,-2.2
95,철원,2020-01,-0.3
95,철원,2020-02,2.4
95,철원,2020-03,7.6
95,철원,2020-04,13.5
95,철원,2020-05,20.5
95,철원,2020-06,27.5
95,철원,2020-07,26.0
95,철원,2020-08,26.8
95,철원,2020-09,21.7
95,철원,2020-10,13.7
95,철원,2020-11,6.0
95,철원,2020-12,-1.7
98,동두천,2020-01,-0.3
98,동두천,2020-02,2.4
98,동두천,2020-03,7.2
98,동두천,2020-04,13.0
98,동두천,2020-05,20.9
98,동두천,2020-06,29.9
98,동두천,2020-07,26.4
98,동두천,2020-08,27.5
98,동두천,2020-09,22.8
98,동두천,2020-10,15.1
98,동두천,2020-11,6.5
98,동두천,2020-12,-1.1
99,파주,2020-01,0.3
99,파주,2020-02,2.6
99,파주,2020-03,7.0
99,파주,2020-04,12.7
99,파주,2020-05,19.8
99,파주,2020-06,27.8
99,파주,2020-07,25.5
99,파주,2020-08,26.7
99,파주,2020-09,22.0
99,파주,2020-10,14.1
99,파주,2020-11,6.9
99,파주,2020-12,-0.9
100,대관령,2020-01,-2.5
100,대관령,2020-02,-0.4
100,대관령,2020-03,3.1
100,대관령,2020-04,7.6
100,대관령,2020-05,16.3
100,대관령,2020-06,23.8
100,대관령,2020-07,21.3
100,대관령,2020-08,23.6
100,대관령,2020-09,17.0
100,대관령,2020-10,10.4
100,대관령,2020-11,4.4
100,대관령,2020-12,-2.6
101,춘천,2020-01,-0.1
101,춘천,2020-02,2.3
101,춘천,2020-03,7.9
101,춘천,2020-04,13.2
101,춘천,2020-05,20.8
101,춘천,2020-06,27.8
101,춘천,2020-07,26.0
101,춘천,2020-08,27.4
101,춘천,2020-09,21.4
101,춘천,2020-10,13.3
101,춘천,2020-11,6.5
101,춘천,2020-12,-1.5
102,백령도,2020-01,1.7
102,백령도,2020-02,2.9
102,백령도,2020-03,8.1
102,백령도,2020-04,14.2
102,백령도,2020-05,16.8
102,백령도,2020-06,25.1
102,백령도,2020-07,25.4
102,백령도,2020-08,25.7
102,백령도,2020-09,22.9
102,백령도,2020-10,15.6
102,백령도,2020-11,8.3
102,백령도,2020-12,1.6
104,북강릉,2020-01,2.2
104,북강릉,2020-02,4.2
104,북강릉,2020-03,8.9
104,북강릉,2020-04,12.6
104,북강릉,2020-05,20.7
104,북강릉,2020-06,28.2
104,북강릉,2020-07,24.5
104,북강릉,2020-08,27.3
104,북강릉,2020-09,22.0
104,북강릉,2020-10,15.9
104,북강릉,2020-11,11.4
104,북강릉,2020-12,0.0
105,강릉,2020-01,2.8
105,강릉,2020-02,4.8
105,강릉,2020-03,9.9
105,강릉,2020-04,13.2
105,강릉,2020-05,21.5
105,강릉,2020-06,30.5
105,강릉,2020-07,24.9
105,강릉,2020-08,27.3
105,강릉,2020-09,21.9
105,강릉,2020-10,18.2
105,강릉,2020-11,11.5
105,강릉,2020-12,3.2
106,동해,2020-01,2.9
106,동해,2020-02,4.8
106,동해,2020-03,10.8
106,동해,2020-04,14.8
106,동해,2020-05,21.4
106,동해,2020-06,29.0
106,동해,2020-07,26.2
106,동해,2020-08,29.5
106,동해,2020-09,23.5
106,동해,2020-10,17.6
106,동해,2020-11,9.9
106,동해,2020-12,0.8
108,서울,2020-01,1.0
108,서울,2020-02,3.1
108,서울,2020-03,8.9
108,서울,2020-04,15.4
108,서울,2020-05,21.4
108,서울,2020-06,28.7
108,서울,2020-07,25.8
108,서울,2020-08,27.0
108,서울,2020-09,22.4
108,서울,2020-10,14.4
108,서울,2020-11,8.1
108,서울,2020-12,-0.4
112,인천,2020-01,1.2
112,인천,2020-02,2.7
112,인천,2020-03,7.5
112,인천,2020-04,13.3
112,인천,2020-05,18.9
112,인천,2020-06,25.0
112,인천,2020-07,24.6
112,인천,2020-08,27.2
112,인천,2020-09,21.8
112,인천,2020-10,15.2
112,인천,2020-11,7.6
112,인천,2020-12,-0.1
114,원주,2020-01,0.0
114,원주,2020-02,2.8
114,원주,2020-03,7.9
114,원주,2020-04,13.4
114,원주,2020-05,20.8
114,원주,2020-06,29.5
114,원주,2020-07,26.7
114,원주,2020-08,27.8
114,원주,2020-09,22.7
114,원주,2020-10,15.6
114,원주,2020-11,7.4
114,원주,2020-12,-0.7
115,울릉도,2020-01,3.6
115,울릉도,2020-02,4.7
115,울릉도,2020-03,8.7
115,울릉도,2020-04,13.3
115,울릉도,2020-05,19.6
115,울릉도,2020-06,26.8
115,울릉도,2020-07,23.1
115,울릉도,2020-08,27.8
115,울릉도,2020-09,21.5
115,울릉도,2020-10,15.3
115,울릉도,2020-11,10.1
115,울릉도,2020-12,2.9
119,수원,2020-01,0.9
119,수원,2020-02,2.6
119,수원,2020-03,7.3
119,수원,2020-04,12.9
119,수원,2020-05,19.7
119,수원,2020-06,27.3
119,수원,2020-07,25.4
119,수원,2020-08,27.2
119,수원,2020-09,22.3
119,수원,2020-10,14.8
119,수원,2020-11,7.9
119,수원,2020-12,0.0
