지점,지점명,일시,평균기온(°C)
90,속초,2021-01,0.6
90,속초,2021-02,4.9
90,속초,2021-03,9.7
90,속초,2021-04,13.8
90,속초,2021-05,17.9
90,속초,2021-06,22.0
90,속초,2021-07,26.7
90,속초,2021-08,25.5
90,속초,2021-09,21.7
90,속초,2021-10,16.5
90,속초,2021-11,11.1
90,속초,2021-12,4.4
93,북춘천,2021-01,1.4
93,북춘천,2021-02,5.2
93,북춘천,2021-03,10.1
93,북춘천,2021-04,13.9
93,북춘천,2021-05,17.8
93,북춘천,2021-06,22.8
93,북춘천,2021-07,26.6
93,북춘천,2021-08,26.3
93,북춘천,2021-09,22.9
93,북춘천,2021-10,17.0
93,북춘천,2021-11,9.8
93,북춘천,2021-12,3.8
95,철원,2021-01,-3.3
95,철원,2021-02,1.3
95,철원,2021-03,6.9
95,철원,2021-04,12.4
95,철원,2021-05,15.7
95,철원,2021-06,20.7
95,철원,2021-07,26.1
95,철원,2021-08,24.5
95,철원,2021-09,21.3
95,철원,2021-10,14.4
95,철원,2021-11,7.1
95,철원,2021-12,-0.1
98,동두천,2021-01,2.9
98,동두천,2021-02,6.6
98,동두천,2021-03,10.8
98,동두천,2021-04,14.3
98,동두천,2021-05,17.8
98,동두천,2021-06,21.7
98,동두천,2021-07,26.1
98,동두천,2021-08,25.8
98,동두천,2021-09,22.3
98,동두천,2021-10,17.4
98,동두천,2021-11,10.9
98,동두천,2021-12,5.3
99,파주,2021-01,-1.0
99,파주,2021-02,3.2
99,파주,2021-03,8.7
99,파주,2021-04,12.8
99,파주,2021-05,16.4
99,파주,2021-06,21.5
99,파주,2021-07,25.1
99,파주,2021-08,24.2
99,파주,2021-09,20.3
99,파주,2021-10,14.0
99,파주,2021-11,7.0
99,파주,2021-12,1.6
100,대관령,2021-01,0.0
100,대관령,2021-02,4.7
100,대관령,2021-03,9.2
100,대관령,2021-04,13.1
100,대관령,2021-05,17.4
100,대관령,2021-06,22.3
100,대관령,2021-07,26.1
100,대관령,2021-08,25.0
100,대관령,2021-09,21.4
100,대관령,2021-10,15.7
100,대관령,2021-11,8.7
100,대관령,2021-12,2.6
101,춘천,2021-01,6.9
101,춘천,2021-02,9.0
101,춘천,2021-03,12.0
101,춘천,2021-04,14.9
101,춘천,2021-05,17.9
101,춘천,2021-06,22.5
101,춘천,2021-07,26.6
101,춘천,2021-08,26.5
101,춘천,2021-09,24.2
101,춘천,2021-10,19.9
101,춘천,2021-11,14.1
101,춘천,2021-12,9.2
102,백령도,2021-01,0.0
102,백령도,2021-02,3.8
102,백령도,2021-03,8.3
102,백령도,2021-04,13.2
102,백령도,2021-05,17.1
102,백령도,2021-06,22.7
102,백령도,2021-07,26.8
102,백령도,2021-08,25.7
102,백령도,2021-09,22.4
102,백령도,2021-10,15.8
102,백령도,2021-11,9.2
102,백령도,2021-12,2.8
104,북강릉,2021-01,0.0
104,북강릉,2021-02,4.0
104,북강릉,2021-03,8.6
104,북강릉,2021-04,13.5
104,북강릉,2021-05,17.2
104,북강릉,2021-06,22.4
104,북강릉,2021-07,26.6
104,북강릉,2021-08,25.3
104,북강릉,2021-09,22.3
104,북강릉,2021-10,15.8
104,북강릉,2021-11,8.9
104,북강릉,2021-12,2.8
105,강릉,2021-01,1.4
105,강릉,2021-02,5.2
105,강릉,2021-03,9.6
105,강릉,2021-04,13.4
105,강릉,2021-05,17.3
105,강릉,2021-06,21.7
105,강릉,2021-07,25.8
105,강릉,2021-08,25.7
105,강릉,2021-09,22.1
105,강릉,2021-10,16.4
105,강릉,2021-11,9.7
105,강릉,2021-12,3.7
106,동해,2021-01,2.5
106,동해,2021-02,6.2
106,동해,2021-03,11.3
106,동해,2021-04,14.9
106,동해,2021-05,18.4
106,동해,2021-06,22.8
106,동해,2021-07,26.7
106,동해,2021-08,26.3
106,동해,2021-09,22.6
106,동해,2021-10,17.8
106,동해,2021-11,11.2
106,동해,2021-12,5.2
108,서울,2021-01,1.4
108,서울,2021-02,5.1
108,서울,2021-03,10.6
108,서울,2021-04,14.9
108,서울,2021-05,18.4
108,서울,2021-06,23.3
108,서울,2021-07,27.0
108,서울,2021-08,25.8
108,서울,2021-09,22.9
108,서울,2021-10,17.2
108,서울,2021-11,10.2
108,서울,2021-12,4.1
112,인천,2021-01,-0.4
112,인천,2021-02,3.9
112,인천,2021-03,9.8
112,인천,2021-04,14.5
112,인천,2021-05,17.7
112,인천,2021-06,23.2
112,인천,2021-07,26.5
112,인천,2021-08,24.9
112,인천,2021-09,21.2
112,인천,2021-10,15.2
112,인천,2021-11,8.5
112,인천,2021-12,2.3
114,원주,2021-01,0.0
114,원주,2021-02,3.8
114,원주,2021-03,8.3
114,원주,2021-04,13.3
114,원주,2021-05,16.6
114,원주,2021-06,22.1
114,원주,2021-07,26.6
114,원주,2021-08,25.5
114,원주,2021-09,22.3
114,원주,2021-10,16.0
114,원주,2021-11,9.6
114,원주,2021-12,3.1
115,울릉도,2021-01,-2.0
115,울릉도,2021-02,2.9
115,울릉도,2021-03,8.4
115,울릉도,2021-04,13.3
115,울릉도,2021-05,16.5
115,울릉도,2021-06,22.1
115,울릉도,2021-07,26.1
115,울릉도,2021-08,24.4
115,울릉도,2021-09,21.1
115,울릉도,2021-10,13.8
115,울릉도,2021-11,7.1
115,울릉도,2021-12,0.9
119,수원,2021-01,1.8
119,수원,2021-02,6.1
119,수원,2021-03,10.8
119,수원,2021-04,14.6
119,수원,2021-05,18.0
119,수원,2021-06,22.2
119,수원,2021-07,26.5
119,수원,2021-08,26.2
119,수원,2021-09,22.6
119,수원,2021-10,17.6
119,수원,2021-11,10.9
119,수원,2021-12,4.3
121,영월,2021-01,-0.8
121,영월,2021-02,3.2
121,영월,2021-03,9.2
121,영월,2021-04,13.7
121,영월,2021-05,17.1
121,영월,2021-06,22.4
121,영월,2021-07,26.1
121,영월,2021-08,25.1
121,영월,2021-09,21.8
121,영월,2021-10,14.8
121,영월,2021-11,7.2
121,영월,2021-12,1.2
127,충주,2021-01,2.3
127,충주,2021-02,6.1
127,충주,2021-03,10.6
127,충주,2021-04,14.3
127,충주,2021-05,18.3
127,충주,2021-06,22.1
127,충주,2021-07,26.1
127,충주,2021-08,26.1
127,충주,2021-09,22.2
127,충주,2021-10,17.2
127,충주,2021-11,10.7
127,충주,2021-12,4.9
129,서산,2021-01,-7.3
129,서산,2021-02,-2.0
129,서산,2021-03,3.0
129,서산,2021-04,7.5
129,서산,2021-05,11.8
129,서산,2021-06,16.8
129,서산,2021-07,21.4
129,서산,2021-08,19.6
129,서산,2021-09,15.7
129,서산,2021-10,9.7
129,서산,2021-11,2.7
129,서산,2021-12,-3.9
130,울진,2021-01,0.5
130,울진,2021-02,4.8
130,울진,2021-03,10.2
130,울진,2021-04,14.5
130,울진,2021-05,18.3
130,울진,2021-06,23.2
130,울진,2021-07,26.9
130,울진,2021-08,25.7
130,울진,2021-09,22.1
130,울진,2021-10,16.5
130,울진,2021-11,9.5
130,울진,2021-12,3.1
131,청주,2021-01,-1.0
131,청주,2021-02,4.0
131,청주,2021-03,9.6
131,청주,2021-04,14.7
131,청주,2021-05,17.7
131,청주,2021-06,23.5
131,청주,2021-07,27.8
131,청주,2021-08,25.8
131,청주,2021-09,22.4
131,청주,2021-10,15.7
131,청주,2021-11,8.9
131,청주,2021-12,1.9
133,대전,2021-01,-4.2
133,대전,2021-02,1.3
133,대전,2021-03,7.7
133,대전,2021-04,13.0
133,대전,2021-05,15.8
133,대전,2021-06,21.3
133,대전,2021-07,26.4
133,대전,2021-08,24.3
133,대전,2021-09,20.8
133,대전,2021-10,13.7
133,대전,2021-11,6.4
133,대전,2021-12,-1.1
135,추풍령,2021-01,0.6
135,추풍령,2021-02,4.6
135,추풍령,2021-03,8.6
135,추풍령,2021-04,11.9
135,추풍령,2021-05,15.8
135,추풍령,2021-06,19.8
135,추풍령,2021-07,24.6
135,추풍령,2021-08,23.8
135,추풍령,2021-09,20.8
135,추풍령,2021-10,15.8
135,추풍령,2021-11,10.9
135,추풍령,2021-12,4.8
136,안동,2021-01,2.0
136,안동,2021-02,4.9
136,안동,2021-03,9.2
136,안동,2021-04,13.9
136,안동,2021-05,17.6
136,안동,2021-06,22.7
136,안동,2021-07,26.8
136,안동,2021-08,26.4
136,안동,2021-09,23.4
136,안동,2021-10,17.7
136,안동,2021-11,11.3
136,안동,2021-12,4.8
137,상주,2021-01,-2.2
137,상주,2021-02,2.7
137,상주,2021-03,8.5
137,상주,2021-04,12.9
137,상주,2021-05,15.9
137,상주,2021-06,21.3
137,상주,2021-07,25.3
137,상주,2021-08,23.6
137,상주,2021-09,19.9
137,상주,2021-10,14.0
137,상주,2021-11,7.5
137,상주,2021-12,1.1
138,포항,2021-01,0.4
138,포항,2021-02,4.3
138,포항,2021-03,10.1
138,포항,2021-04,14.0
138,포항,2021-05,18.2
138,포항,2021-06,23.2
138,포항,2021-07,26.7
138,포항,2021-08,26.2
138,포항,2021-09,22.7
138,포항,2021-10,16.5
138,포항,2021-11,8.8
138,포항,2021-12,2.8
140,군산,2021-01,-1.0
140,군산,2021-02,2.1
140,군산,2021-03,6.1
140,군산,2021-04,10.9
140,군산,2021-05,14.5
140,군산,2021-06,18.7
140,군산,2021-07,24.0
140,군산,2021-08,23.6
140,군산,2021-09,21.4
140,군산,2021-10,16.1
140,군산,2021-11,10.2
140,군산,2021-12,3.5
143,대구,2021-01,-0.2
143,대구,2021-02,3.5
143,대구,2021-03,7.8
143,대구,2021-04,12.9
143,대구,2021-05,16.2
143,대구,2021-06,21.7
143,대구,2021-07,26.5
143,대구,2021-08,25.5
143,대구,2021-09,22.5
143,대구,2021-10,16.1
143,대구,2021-11,9.8
143,대구,2021-12,3.1
146,전주,2021-01,2.0
146,전주,2021-02,5.5
146,전주,2021-03,10.5
146,전주,2021-04,13.9
146,전주,2021-05,17.9
146,전주,2021-06,22.9
146,전주,2021-07,26.6
146,전주,2021-08,26.3
146,전주,2021-09,22.7
146,전주,2021-10,17.0
146,전주,2021-11,10.1
146,전주,2021-12,4.3
152,울산,2021-01,-3.1
152,울산,2021-02,1.8
152,울산,2021-03,7.7
152,울산,2021-04,12.7
