지점,지점명,일시,평균운량(1/10)
90,속초,2021-01,3.6
90,속초,2021-02,3.6
90,속초,2021-03,5.0
90,속초,2021-04,4.7
90,속초,2021-05,5.2
90,속초,2021-06,6.1
90,속초,2021-07,5.2
90,속초,2021-08,7.4
90,속초,2021-09,5.5
90,속초,2021-10,5.5
90,속초,2021-11,3.5
90,속초,2021-12,3.0
93,북춘천,2021-01,3.9
93,북춘천,2021-02,3.6
93,북춘천,2021-03,4.7
93,북춘천,2021-04,4.9
93,북춘천,2021-05,6.0
93,북춘천,2021-06,6.4
93,북춘천,2021-07,6.0
93,북춘천,2021-08,7.4
93,북춘천,2021-09,6.1
93,북춘천,2021-10,5.7
93,북춘천,2021-11,4.6
93,북춘천,2021-12,3.9
95,철원,2021-01,4.5
95,철원,2021-02,4.0
95,철원,2021-03,4.5
95,철원,2021-04,4.5
95,철원,2021-05,5.5
95,철원,2021-06,6.2
95,철원,2021-07,5.6
95,철원,2021-08,6.9
95,철원,2021-09,5.5
95,철원,2021-10,4.9
95,철원,2021-11,4.4
95,철원,2021-12,3.6
98,동두천,2021-01,3.9
98,동두천,2021-02,3.9
98,동두천,2021-03,4.5
98,동두천,2021-04,4.8
98,동두천,2021-05,5.4
98,동두천,2021-06,6.0
98,동두천,2021-07,5.7
98,동두천,2021-08,6.9
98,동두천,2021-09,5.4
98,동두천,2021-10,4.7
98,동두천,2021-11,4.6
98,동두천,2021-12,3.5
99,파주,2021-01,4.0
99,파주,2021-02,4.1
99,파주,2021-03,4.7
99,파주,2021-04,4.7
99,파주,2021-05,5.4
99,파주,2021-06,6.1
99,파주,2021-07,5.3
99,파주,2021-08,6.8
99,파주,2021-09,5.3
99,파주,2021-10,4.6
99,파주,2021-11,4.4
99,파주,2021-12,3.2
100,대관령,2021-01,3.7
100,대관령,2021-02,3.6
100,대관령,2021-03,5.0
100,대관령,2021-04,5.1
100,대관령,2021-05,5.7
100,대관령,2021-06,6.6
100,대관령,2021-07,6.1
100,대관령,2021-08,7.8
100,대관령,2021-09,6.6
100,대관령,2021-10,5.5
100,대관령,2021-11,4.0
100,대관령,2021-12,3.3
101,춘천,2021-01,4.62
101,춘천,2021-02,4.13
101,춘천,2021-03,5.19
101,춘천,2021-04,5.11
101,춘천,2021-05,5.78
101,춘천,2021-06,6.28
101,춘천,2021-07,6.46
101,춘천,2021-08,7.14
101,춘천,2021-09,6.51
101,춘천,2021-10,4.75
101,춘천,2021-11,4.1
101,춘천,2021-12,3.75
102,백령도,2021-01,6.4
102,백령도,2021-02,4.8
102,백령도,2021-03,5.3
102,백령도,2021-04,4.9
102,백령도,2021-05,5.3
102,백령도,2021-06,7.2
102,백령도,2021-07,5.8
102,백령도,2021-08,6.4
102,백령도,2021-09,4.8
102,백령도,2021-10,4.8
102,백령도,2021-11,5.3
102,백령도,2021-12,5.4
104,북강릉,2021-01,3.2
104,북강릉,2021-02,3.4
104,북강릉,2021-03,4.9
104,북강릉,2021-04,4.9
104,북강릉,2021-05,5.5
104,북강릉,2021-06,6.6
104,북강릉,2021-07,6.1
104,북강릉,2021-08,7.8
104,북강릉,2021-09,6.2
104,북강릉,2021-10,5.3
104,북강릉,2021-11,3.4
104,북강릉,2021-12,2.6
105,강릉,2021-01,3.5
105,강릉,2021-02,3.6
105,강릉,2021-03,5.0
105,강릉,2021-04,4.9
105,강릉,2021-05,5.7
105,강릉,2021-06,6.3
105,강릉,2021-07,5.7
105,강릉,2021-08,7.6
105,강릉,2021-09,5.9
105,강릉,2021-10,5.6
105,강릉,2021-11,3.6
105,강릉,2021-12,3.1
106,동해,2021-01,3.3
106,동해,2021-02,3.7
106,동해,2021-03,5.0
106,동해,2021-04,4.9
106,동해,2021-05,5.7
106,동해,2021-06,6.3
106,동해,2021-07,5.6
106,동해,2021-08,7.5
106,동해,2021-09,6.0
106,동해,2021-10,5.6
106,동해,2021-11,3.3
