지점,지점명,일시,월합강수량(00~24h만)(mm)
90,속초,2021-01,0.0
90,속초,2021-02,5.0
90,속초,2021-03,104.2
90,속초,2021-04,97.2
90,속초,2021-05,154.9
90,속초,2021-06,43.8
90,속초,2021-07,104.1
90,속초,2021-08,247.1
90,속초,2021-09,141.6
90,속초,2021-10,216.9
90,속초,2021-11,16.2
90,속초,2021-12,68.7
93,북춘천,2021-01,14.3
93,북춘천,2021-02,5.6
93,북춘천,2021-03,100.1
93,북춘천,2021-04,110.2
93,북춘천,2021-05,159.3
93,북춘천,2021-06,128.1
93,북춘천,2021-07,202.0
93,북춘천,2021-08,122.5
93,북춘천,2021-09,103.7
93,북춘천,2021-10,64.4
93,북춘천,2021-11,49.8
93,북춘천,2021-12,5.2
95,철원,2021-01,7.6
95,철원,2021-02,4.8
95,철원,2021-03,103.7
95,철원,2021-04,99.3
95,철원,2021-05,199.1
95,철원,2021-06,67.6
95,철원,2021-07,117.2
95,철원,2021-08,219.6
95,철원,2021-09,105.9
95,철원,2021-10,128.3
95,철원,2021-11,57.3
95,철원,2021-12,4.9
98,동두천,2021-01,15.4
98,동두천,2021-02,8.5
98,동두천,2021-03,107.8
98,동두천,2021-04,99.3
98,동두천,2021-05,228.8
98,동두천,2021-06,103.3
98,동두천,2021-07,100.2
98,동두천,2021-08,140.6
98,동두천,2021-09,100.6
98,동두천,2021-10,71.2
98,동두천,2021-11,51.6
98,동두천,2021-12,8.3
99,파주,2021-01,12.9
99,파주,2021-02,10.0
99,파주,2021-03,112.4
99,파주,2021-04,106.4
99,파주,2021-05,243.0
99,파주,2021-06,50.4
99,파주,2021-07,93.6
99,파주,2021-08,183.3
99,파주,2021-09,93.5
99,파주,2021-10,79.4
99,파주,2021-11,47.2
99,파주,2021-12,5.8
100,대관령,2021-01,7.8
100,대관령,2021-02,2.2
100,대관령,2021-03,86.2
100,대관령,2021-04,98.4
100,대관령,2021-05,154.0
100,대관령,2021-06,78.6
100,대관령,2021-07,124.8
100,대관령,2021-08,217.2
100,대관령,2021-09,153.9
100,대관령,2021-10,65.2
100,대관령,2021-11,32.6
100,대관령,2021-12,6.4
101,춘천,2021-01,17.7
101,춘천,2021-02,6.6
101,춘천,2021-03,104.1
101,춘천,2021-04,121.7
101,춘천,2021-05,172.3
101,춘천,2021-06,99.7
101,춘천,2021-07,169.5
101,춘천,2021-08,129.6
101,춘천,2021-09,106.0
101,춘천,2021-10,60.6
101,춘천,2021-11,53.0
101,춘천,2021-12,5.1
102,백령도,2021-01,64.5
102,백령도,2021-02,4.6
102,백령도,2021-03,68.0
102,백령도,2021-04,67.1
