지점,지점명,일시,월합강수량(00~24h만)(mm)
90,속초,2022-01,3.6
90,속초,2022-02,11.1
90,속초,2022-03,114.5
90,속초,2022-04,33.5
90,속초,2022-05,9.1
90,속초,2022-06,248.7
90,속초,2022-07,213.1
90,속초,2022-08,323.7
90,속초,2022-09,263.8
90,속초,2022-10,377.1
90,속초,2022-11,38.4
90,속초,2022-12,0.7
93,북춘천,2022-01,1.9
93,북춘천,2022-02,6.3
93,북춘천,2022-03,88.3
93,북춘천,2022-04,27.7
93,북춘천,2022-05,8.1
93,북춘천,2022-06,386.5
93,북춘천,2022-07,223.8
93,북춘천,2022-08,418.4
93,북춘천,2022-09,239.0
93,북춘천,2022-10,116.1
93,북춘천,2022-11,64.0
93,북춘천,2022-12,10.7
95,철원,2022-01,2.5
95,철원,2022-02,8.9
95,철원,2022-03,90.9
95,철원,2022-04,17.9
95,철원,2022-05,14.5
95,철원,2022-06,437.2
95,철원,2022-07,247.6
95,철원,2022-08,420.4
95,철원,2022-09,257.4
95,철원,2022-10,162.1
95,철원,2022-11,85.2
95,철원,2022-12,8.1
98,동두천,2022-01,6.5
98,동두천,2022-02,7.1
98,동두천,2022-03,91.0
98,동두천,2022-04,17.8
98,동두천,2022-05,16.4
98,동두천,2022-06,522.8
98,동두천,2022-07,302.7
98,동두천,2022-08,506.8
98,동두천,2022-09,204.5
98,동두천,2022-10,146.3
98,동두천,2022-11,88.7
98,동두천,2022-12,12.0
99,파주,2022-01,7.2
99,파주,2022-02,2.6
99,파주,2022-03,103.3
99,파주,2022-04,19.5
99,파주,2022-05,12.7
99,파주,2022-06,509.9
99,파주,2022-07,290.2
99,파주,2022-08,353.5
99,파주,2022-09,152.4
99,파주,2022-10,181.6
99,파주,2022-11,89.2
99,파주,2022-12,8.4
100,대관령,2022-01,1.3
100,대관령,2022-02,2.2
100,대관령,2022-03,76.6
100,대관령,2022-04,43.5
100,대관령,2022-05,9.3
100,대관령,2022-06,245.2
100,대관령,2022-07,173.3
100,대관령,2022-08,415.6
100,대관령,2022-09,206.5
100,대관령,2022-10,145.4
100,대관령,2022-11,40.0
100,대관령,2022-12,2.3
101,춘천,2022-01,2.8
101,춘천,2022-02,6.6
101,춘천,2022-03,103.0
101,춘천,2022-04,28.5
101,춘천,2022-05,10.9
101,춘천,2022-06,402.5
101,춘천,2022-07,208.2
101,춘천,2022-08,491.7
101,춘천,2022-09,256.7
101,춘천,2022-10,137.3
101,춘천,2022-11,69.5
101,춘천,2022-12,10.7
102,백령도,2022-01,12.2
102,백령도,2022-02,4.9
102,백령도,2022-03,69.8
102,백령도,2022-04,3.7
102,백령도,2022-05,5.1
102,백령도,2022-06,219.8
102,백령도,2022-07,255.0
102,백령도,2022-08,155.9
102,백령도,2022-09,145.8
102,백령도,2022-10,82.9
102,백령도,2022-11,40.9
102,백령도,2022-12,25.1
104,북강릉,2022-01,5.8
104,북강릉,2022-02,3.2
104,북강릉,2022-03,100.0
104,북강릉,2022-04,65.1
104,북강릉,2022-05,6.5
104,북강릉,2022-06,168.4
104,북강릉,2022-07,239.4
104,북강릉,2022-08,303.3
104,북강릉,2022-09,235.9
104,북강릉,2022-10,347.7
104,북강릉,2022-11,53.4
104,북강릉,2022-12,0.0
105,강릉,2022-01,7.4
105,강릉,2022-02,1.2
105,강릉,2022-03,102.9
105,강릉,2022-04,68.8
105,강릉,2022-05,5.8
105,강릉,2022-06,186.0
105,강릉,2022-07,227.9
105,강릉,2022-08,307.5
105,강릉,2022-09,202.5
105,강릉,2022-10,293.2
105,강릉,2022-11,62.3
105,강릉,2022-12,17.2
106,동해,2022-01,10.8
106,동해,2022-02,0.8
106,동해,2022-03,94.4
106,동해,2022-04,42.7
106,동해,2022-05,4.4
106,동해,2022-06,118.0
106,동해,2022-07,159.7
106,동해,2022-08,237.2
106,동해,2022-09,116.9
106,동해,2022-10,260.4
106,동해,2022-11,55.7
106,동해,2022-12,0.4
108,서울,2022-01,5.5
108,서울,2022-02,4.7
108,서울,2022-03,102.6
108,서울,2022-04,20.4
108,서울,2022-05,7.5
108,서울,2022-06,393.8
108,서울,2022-07,252.3
108,서울,2022-08,564.8
108,서울,2022-09,201.5
108,서울,2022-10,124.1
108,서울,2022-11,84.5
108,서울,2022-12,13.6
112,인천,2022-01,4.4
112,인천,2022-02,2.7
112,인천,2022-03,84.6
112,인천,2022-04,21.1
112,인천,2022-05,5.4
112,인천,2022-06,286.0
112,인천,2022-07,215.2
112,인천,2022-08,635.9
112,인천,2022-09,167.8
112,인천,2022-10,102.1
112,인천,2022-11,81.3
112,인천,2022-12,14.0
114,원주,2022-01,0.8
114,원주,2022-02,6.8
114,원주,2022-03,71.6
114,원주,2022-04,51.7
114,원주,2022-05,11.0
114,원주,2022-06,226.7
114,원주,2022-07,238.9
114,원주,2022-08,512.3
114,원주,2022-09,118.3
114,원주,2022-10,95.2
114,원주,2022-11,54.6
114,원주,2022-12,6.1
115,울릉도,2022-01,53.4
115,울릉도,2022-02,59.0
115,울릉도,2022-03,51.1
115,울릉도,2022-04,39.5
115,울릉도,2022-05,5.0
115,울릉도,2022-06,164.3
115,울릉도,2022-07,152.8
115,울릉도,2022-08,167.9
115,울릉도,2022-09,73.6
115,울릉도,2022-10,265.0
115,울릉도,2022-11,70.9
115,울릉도,2022-12,108.9
119,수원,2022-01,3.9
119,수원,2022-02,4.0
119,수원,2022-03,74.7
119,수원,2022-04,42.4
119,수원,2022-05,13.4
119,수원,2022-06,472.1
119,수원,2022-07,243.0
119,수원,2022-08,640.8
119,수원,2022-09,190.1
119,수원,2022-10,108.5
119,수원,2022-11,51.4
119,수원,2022-12,19.7
121,영월,2022-01,1.2
121,영월,2022-02,3.6
121,영월,2022-03,68.7
121,영월,2022-04,30.8
121,영월,2022-05,10.5
121,영월,2022-06,194.8
121,영월,2022-07,274.3
121,영월,2022-08,442.4
121,영월,2022-09,115.8
121,영월,2022-10,78.3
121,영월,2022-11,53.9
121,영월,2022-12,14.4
127,충주,2022-01,2.0
127,충주,2022-02,4.3
127,충주,2022-03,79.9
127,충주,2022-04,45.8
127,충주,2022-05,8.6
127,충주,2022-06,219.0
127,충주,2022-07,350.5
127,충주,2022-08,457.3
127,충주,2022-09,102.0
127,충주,2022-10,96.5
127,충주,2022-11,79.5
127,충주,2022-12,18.8
129,서산,2022-01,8.6
129,서산,2022-02,4.7
129,서산,2022-03,72.1
129,서산,2022-04,52.2
129,서산,2022-05,2.9
129,서산,2022-06,352.4
129,서산,2022-07,178.4
129,서산,2022-08,468.7
129,서산,2022-09,165.9
129,서산,2022-10,160.0
129,서산,2022-11,72.9
129,서산,2022-12,31.9
130,울진,2022-01,14.6
130,울진,2022-02,4.3
130,울진,2022-03,77.2
130,울진,2022-04,38.8
130,울진,2022-05,2.6
130,울진,2022-06,82.0
130,울진,2022-07,78.2
130,울진,2022-08,172.2
130,울진,2022-09,129.6
130,울진,2022-10,296.0
130,울진,2022-11,200.6
130,울진,2022-12,3.9
131,청주,2022-01,1.4
131,청주,2022-02,2.4
131,청주,2022-03,59.0
131,청주,2022-04,45.2
131,청주,2022-05,9.1
131,청주,2022-06,129.6
131,청주,2022-07,171.7
131,청주,2022-08,519.4
131,청주,2022-09,116.0
131,청주,2022-10,105.9
131,청주,2022-11,56.7
131,청주,2022-12,20.0
133,대전,2022-01,1.2
133,대전,2022-02,1.4
133,대전,2022-03,74.0
133,대전,2022-04,69.7
133,대전,2022-05,8.1
133,대전,2022-06,117.6
133,대전,2022-07,195.0
133,대전,2022-08,496.1
133,대전,2022-09,90.2
133,대전,2022-10,89.3
133,대전,2022-11,45.8
133,대전,2022-12,14.7
135,추풍령,2022-01,3.4
135,추풍령,2022-02,2.3
135,추풍령,2022-03,71.2
135,추풍령,2022-04,57.0
135,추풍령,2022-05,4.7
135,추풍령,2022-06,98.5
135,추풍령,2022-07,189.1
135,추풍령,2022-08,272.6
135,추풍령,2022-09,117.1
135,추풍령,2022-10,62.5
135,추풍령,2022-11,38.7
135,추풍령,2022-12,11.5
136,안동,2022-01,0.0
136,안동,2022-02,0.1
136,안동,2022-03,80.0
136,안동,2022-04,38.3
136,안동,2022-05,7.3
136,안동,2022-06,48.3
136,안동,2022-07,158.8
136,안동,2022-08,202.8
136,안동,2022-09,29.9
136,안동,2022-10,50.8
136,안동,2022-11,35.6
136,안동,2022-12,3.8
137,상주,2022-01,1.6
137,상주,2022-02,2.1
137,상주,2022-03,95.7
137,상주,2022-04,55.0
137,상주,2022-05,2.8
137,상주,2022-06,88.9
137,상주,2022-07,211.7
137,상주,2022-08,220.3
137,상주,2022-09,109.2
137,상주,2022-10,62.0
137,상주,2022-11,29.8
137,상주,2022-12,12.1
138,포항,2022-01,4.4
138,포항,2022-02,9.6
138,포항,2022-03,57.1
138,포항,2022-04,36.6
138,포항,2022-05,0.1
138,포항,2022-06,106.3
138,포항,2022-07,77.7
138,포항,2022-08,141.2
138,포항,2022-09,512.0
138,포항,2022-10,25.8
138,포항,2022-11,84.3
138,포항,2022-12,6.5
140,군산,2022-01,4.3
140,군산,2022-02,7.1
140,군산,2022-03,78.6
140,군산,2022-04,83.3
140,군산,2022-05,4.9
140,군산,2022-06,94.9
140,군산,2022-07,152.2
140,군산,2022-08,340.9
140,군산,2022-09,80.6
140,군산,2022-10,73.8
140,군산,2022-11,75.4
140,군산,2022-12,47.4
143,대구,2022-01,0.0
143,대구,2022-02,0.1
143,대구,2022-03,34.3
143,대구,2022-04,38.5
143,대구,2022-05,4.2
143,대구,2022-06,81.8
143,대구,2022-07,88.8
143,대구,2022-08,143.3
143,대구,2022-09,114.2
143,대구,2022-10,25.6
143,대구,2022-11,46.6
143,대구,2022-12,3.6
146,전주,2022-01,2.1
146,전주,2022-02,2.5
146,전주,2022-03,93.0
146,전주,2022-04,85.0
146,전주,2022-05,6.8
146,전주,2022-06,164.2
146,전주,2022-07,184.0
146,전주,2022-08,311.3
146,전주,2022-09,64.5
146,전주,2022-10,51.1
146,전주,2022-11,77.0
146,전주,2022-12,30.0
152,울산,2022-01,0.9
152,울산,2022-02,2.2
152,울산,2022-03,55.5
152,울산,2022-04,81.0
152,울산,2022-05,6.1
152,울산,2022-06,147.1
152,울산,2022-07,125.0
152,울산,2022-08,138.5
152,울산,2022-09,284.8
152,울산,2022-10,30.4
152,울산,2022-11,44.9
152,울산,2022-12,9.7
155,창원,2022-01,0.0
155,창원,2022-02,0.0
155,창원,2022-03,135.0
155,창원,2022-04,102.1
155,창원,2022-05,2.4
155,창원,2022-06,194.0
155,창원,2022-07,167.9
155,창원,2022-08,224.6
155,창원,2022-09,156.0
155,창원,2022-10,9.8
155,창원,2022-11,46.0
155,창원,2022-12,12.1
156,광주,2022-01,0.3
156,광주,2022-02,2.7
156,광주,2022-03,105.2
156,광주,2022-04,49.4
156,광주,2022-05,0.4
156,광주,2022-06,131.7
156,광주,2022-07,169.0
156,광주,2022-08,106.4
156,광주,2022-09,89.2
156,광주,2022-10,38.3
156,광주,2022-11,46.7
156,광주,2022-12,30.6
159,부산,2022-01,0.0
159,부산,2022-02,0.0
159,부산,2022-03,127.4
159,부산,2022-04,130.6
159,부산,2022-05,5.4
159,부산,2022-06,152.0
159,부산,2022-07,145.0
159,부산,2022-08,176.7
159,부산,2022-09,162.4
159,부산,2022-10,9.7
159,부산,2022-11,61.3
159,부산,2022-12,21.4
162,통영,2022-01,0.0
162,통영,2022-02,0.0
162,통영,2022-03,121.0
162,통영,2022-04,191.7
162,통영,2022-05,0.1
162,통영,2022-06,101.5
162,통영,2022-07,151.8
162,통영,2022-08,186.9
162,통영,2022-09,159.4
162,통영,2022-10,10.4
162,통영,2022-11,46.9
162,통영,2022-12,18.1
165,목포,2022-01,4.3
165,목포,2022-02,4.5
165,목포,2022-03,78.9
165,목포,2022-04,74.7
165,목포,2022-05,2.6
165,목포,2022-06,90.2
165,목포,2022-07,196.3
165,목포,2022-08,92.3
165,목포,2022-09,101.9
165,목포,2022-10,38.3
165,목포,2022-11,33.1
165,목포,2022-12,22.8
168,여수,2022-01,0.0
168,여수,2022-02,0.0
168,여수,2022-03,149.3
168,여수,2022-04,102.2
168,여수,2022-05,0.6
168,여수,2022-06,91.7
168,여수,2022-07,260.1
168,여수,2022-08,210.8
168,여수,2022-09,175.6
168,여수,2022-10,13.0
168,여수,2022-11,59.6
168,여수,2022-12,4.5
169,흑산도,2022-01,4.5
169,흑산도,2022-02,1.6
169,흑산도,2022-03,83.8
169,흑산도,2022-04,93.3
169,흑산도,2022-05,8.4
169,흑산도,2022-06,87.4
169,흑산도,2022-07,131.4
169,흑산도,2022-08,62.9
169,흑산도,2022-09,108.6
169,흑산도,2022-10,35.2
169,흑산도,2022-11,35.4
169,흑산도,2022-12,15.7
170,완도,2022-01,3.1
170,완도,2022-02,0.4
170,완도,2022-03,111.9
170,완도,2022-04,101.7
170,완도,2022-05,13.3
170,완도,2022-06,76.4
170,완도,2022-07,111.5
170,완도,2022-08,58.1
170,완도,2022-09,160.4
170,완도,2022-10,14.7
170,완도,2022-11,36.1
170,완도,2022-12,16.8
172,고창,2022-01,7.3
172,고창,2022-02,5.1
172,고창,2022-03,91.8
172,고창,2022-04,38.3
172,고창,2022-05,1.5
172,고창,2022-06,130.4
172,고창,2022-07,120.5
172,고창,2022-08,126.9
172,고창,2022-09,81.9
172,고창,2022-10,40.4
172,고창,2022-11,75.8
172,고창,2022-12,34.0
174,순천,2022-01,0.0
174,순천,2022-02,0.0
174,순천,2022-03,111.3
174,순천,2022-04,69.1
174,순천,2022-05,0.2
174,순천,2022-06,94.8
174,순천,2022-07,281.8
174,순천,2022-08,176.8
174,순천,2022-09,161.4
174,순천,2022-10,32.5
174,순천,2022-11,51.3
174,순천,2022-12,7.8
177,홍성,2022-01,5.2
177,홍성,2022-02,4.0
177,홍성,2022-03,79.4
177,홍성,2022-04,68.0
177,홍성,2022-05,4.4
177,홍성,2022-06,191.6
177,홍성,2022-07,141.5
177,홍성,2022-08,524.7
177,홍성,2022-09,135.0
177,홍성,2022-10,154.0
177,홍성,2022-11,53.6
177,홍성,2022-12,28.2
184,제주,2022-01,33.6
184,제주,2022-02,25.1
184,제주,2022-03,96.1
184,제주,2022-04,84.0
184,제주,2022-05,9.1
184,제주,2022-06,143.6
184,제주,2022-07,149.0
184,제주,2022-08,124.3
184,제주,2022-09,265.8
184,제주,2022-10,22.1
184,제주,2022-11,87.8
184,제주,2022-12,35.3
185,고산,2022-01,31.6
185,고산,2022-02,4.6
185,고산,2022-03,100.6
185,고산,2022-04,77.7
185,고산,2022-05,7.1
185,고산,2022-06,172.8
185,고산,2022-07,258.4
185,고산,2022-08,143.2
185,고산,2022-09,361.9
185,고산,2022-10,8.4
185,고산,2022-11,68.4
185,고산,2022-12,22.9
188,성산,2022-01,28.2
188,성산,2022-02,34.7
188,성산,2022-03,161.0
188,성산,2022-04,111.3
188,성산,2022-05,20.2
188,성산,2022-06,203.8
188,성산,2022-07,225.9
188,성산,2022-08,233.8
188,성산,2022-09,271.3
188,성산,2022-10,36.2
188,성산,2022-11,173.8
188,성산,2022-12,54.8
189,서귀포,2022-01,33.8
189,서귀포,2022-02,18.6
189,서귀포,2022-03,104.8
189,서귀포,2022-04,125.4
189,서귀포,2022-05,31.8
189,서귀포,2022-06,269.7
189,서귀포,2022-07,272.0
189,서귀포,2022-08,263.1
189,서귀포,2022-09,326.1
189,서귀포,2022-10,11.8
189,서귀포,2022-11,79.9
189,서귀포,2022-12,24.3
192,진주,2022-01,0.0
192,진주,2022-02,0.0
192,진주,2022-03,115.9
192,진주,2022-04,69.5
192,진주,2022-05,0.9
192,진주,2022-06,121.3
192,진주,2022-07,218.0
192,진주,2022-08,157.3
192,진주,2022-09,166.6
192,진주,2022-10,22.3
192,진주,2022-11,87.8
192,진주,2022-12,6.6
201,강화,2022-01,9.2
201,강화,2022-02,3.2
201,강화,2022-03,95.3
201,강화,2022-04,17.1
201,강화,2022-05,10.6
201,강화,2022-06,484.2
201,강화,2022-07,220.4
201,강화,2022-08,287.1
201,강화,2022-09,139.2
201,강화,2022-10,182.8
201,강화,2022-11,100.2
201,강화,2022-12,12.5
202,양평,2022-01,3.6
202,양평,2022-02,6.7
202,양평,2022-03,88.8
202,양평,2022-04,51.6
202,양평,2022-05,7.9
202,양평,2022-06,408.7
202,양평,2022-07,255.9
