지점,지점명,일시,일조율(%)
90,속초,2022-01,74.37
90,속초,2022-02,80.76
90,속초,2022-03,51.08
90,속초,2022-04,67.93
90,속초,2022-05,70.76
90,속초,2022-06,38.26
90,속초,2022-07,30.07
90,속초,2022-08,35.75
90,속초,2022-09,54.55
90,속초,2022-10,44.22
90,속초,2022-11,65.35
90,속초,2022-12,78.81
93,북춘천,2022-01,71.52
93,북춘천,2022-02,74.13
93,북춘천,2022-03,52.72
93,북춘천,2022-04,66.78
93,북춘천,2022-05,63.79
93,북춘천,2022-06,32.22
93,북춘천,2022-07,38.84
93,북춘천,2022-08,29.88
93,북춘천,2022-09,55.45
93,북춘천,2022-10,53.52
93,북춘천,2022-11,57.63
93,북춘천,2022-12,63.98
95,철원,2022-01,69.02
95,철원,2022-02,72.67
95,철원,2022-03,59.23
95,철원,2022-04,71.09
95,철원,2022-05,74.19
95,철원,2022-06,44.14
95,철원,2022-07,50.53
95,철원,2022-08,41.76
95,철원,2022-09,63.28
95,철원,2022-10,60.84
95,철원,2022-11,58.9
95,철원,2022-12,66.41
98,동두천,2022-01,70.05
98,동두천,2022-02,72.8
98,동두천,2022-03,54.44
98,동두천,2022-04,66.47
98,동두천,2022-05,69.19
98,동두천,2022-06,36.64
98,동두천,2022-07,42.04
98,동두천,2022-08,33.98
98,동두천,2022-09,58.93
98,동두천,2022-10,58.82
98,동두천,2022-11,58.27
98,동두천,2022-12,66.78
99,파주,2022-01,71.32
99,파주,2022-02,73.44
99,파주,2022-03,52.67
99,파주,2022-04,68.57
99,파주,2022-05,68.47
99,파주,2022-06,35.36
99,파주,2022-07,41.69
99,파주,2022-08,38.06
99,파주,2022-09,57.54
99,파주,2022-10,62.41
99,파주,2022-11,56.1
99,파주,2022-12,69.52
100,대관령,2022-01,75.93
100,대관령,2022-02,83.05
100,대관령,2022-03,61.04
100,대관령,2022-04,70.83
100,대관령,2022-05,70.55
100,대관령,2022-06,41.67
100,대관령,2022-07,40.01
100,대관령,2022-08,32.53
100,대관령,2022-09,53.54
100,대관령,2022-10,47.87
100,대관령,2022-11,68.24
100,대관령,2022-12,60.76
101,춘천,2022-01,63.13
101,춘천,2022-02,71.39
101,춘천,2022-03,51.86
101,춘천,2022-04,66.3
101,춘천,2022-05,68.68
101,춘천,2022-06,38.61
101,춘천,2022-07,41.67
101,춘천,2022-08,33.44
101,춘천,2022-09,53.42
101,춘천,2022-10,51.97
101,춘천,2022-11,54.41
101,춘천,2022-12,58.24
102,백령도,2022-01,56.61
102,백령도,2022-02,57.22
102,백령도,2022-03,48.87
102,백령도,2022-04,63.76
102,백령도,2022-05,56.62
102,백령도,2022-06,24.35
102,백령도,2022-07,38.74
102,백령도,2022-08,44.39
102,백령도,2022-09,61.99
102,백령도,2022-10,62.37
102,백령도,2022-11,48.23
102,백령도,2022-12,40.73
104,북강릉,2022-01,75.42
104,북강릉,2022-02,81.48
104,북강릉,2022-03,51.82
104,북강릉,2022-04,64.69
104,북강릉,2022-05,69.34
104,북강릉,2022-06,40.22
104,북강릉,2022-07,30.17
104,북강릉,2022-08,32.29
104,북강릉,2022-09,53.64
104,북강릉,2022-10,43.62
104,북강릉,2022-11,64.99
104,북강릉,2022-12,75.58
105,강릉,2022-01,72.46
105,강릉,2022-02,79.13
105,강릉,2022-03,52.09
105,강릉,2022-04,63.45
105,강릉,2022-05,63.99
105,강릉,2022-06,36.78
105,강릉,2022-07,25.76
105,강릉,2022-08,29.99
105,강릉,2022-09,49.44
105,강릉,2022-10,41.56
105,강릉,2022-11,61.25
105,강릉,2022-12,72.26
106,동해,2022-01,72.37
106,동해,2022-02,78.3
106,동해,2022-03,54.0
106,동해,2022-04,63.76
106,동해,2022-05,64.4
106,동해,2022-06,38.87
106,동해,2022-07,33.26
106,동해,2022-08,31.96
106,동해,2022-09,50.28
106,동해,2022-10,44.03
106,동해,2022-11,61.83
106,동해,2022-12,74.32
108,서울,2022-01,67.35
108,서울,2022-02,67.33
108,서울,2022-03,46.64
108,서울,2022-04,62.35
108,서울,2022-05,68.69
108,서울,2022-06,29.83
108,서울,2022-07,31.22
108,서울,2022-08,28.55
108,서울,2022-09,54.65
108,서울,2022-10,62.02
108,서울,2022-11,61.37
108,서울,2022-12,65.99
112,인천,2022-01,69.39
112,인천,2022-02,71.19
112,인천,2022-03,48.58
112,인천,2022-04,62.94
112,인천,2022-05,68.58
112,인천,2022-06,33.05
112,인천,2022-07,44.26
112,인천,2022-08,35.0
112,인천,2022-09,55.83
112,인천,2022-10,66.39
112,인천,2022-11,61.81
112,인천,2022-12,64.39
114,원주,2022-01,67.6
114,원주,2022-02,72.36
114,원주,2022-03,48.42
114,원주,2022-04,63.51
114,원주,2022-05,68.69
114,원주,2022-06,38.25
114,원주,2022-07,40.43
114,원주,2022-08,30.15
114,원주,2022-09,52.23
114,원주,2022-10,56.27
114,원주,2022-11,62.17
114,원주,2022-12,61.27
115,울릉도,2022-01,30.1
115,울릉도,2022-02,30.49
115,울릉도,2022-03,45.56
115,울릉도,2022-04,65.35
115,울릉도,2022-05,70.55
115,울릉도,2022-06,41.01
115,울릉도,2022-07,35.3
115,울릉도,2022-08,35.59
115,울릉도,2022-09,42.37
115,울릉도,2022-10,40.59
115,울릉도,2022-11,46.2
115,울릉도,2022-12,23.43
119,수원,2022-01,71.12
119,수원,2022-02,74.93
119,수원,2022-03,49.99
119,수원,2022-04,65.03
119,수원,2022-05,72.19
119,수원,2022-06,36.82
119,수원,2022-07,43.78
119,수원,2022-08,34.64
119,수원,2022-09,57.69
119,수원,2022-10,67.74
119,수원,2022-11,65.49
119,수원,2022-12,67.8
121,영월,2022-01,66.98
121,영월,2022-02,74.62
121,영월,2022-03,49.16
121,영월,2022-04,63.25
121,영월,2022-05,62.45
121,영월,2022-06,39.03
121,영월,2022-07,39.02
121,영월,2022-08,27.58
121,영월,2022-09,46.46
121,영월,2022-10,45.61
121,영월,2022-11,55.94
121,영월,2022-12,56.88
127,충주,2022-01,66.22
127,충주,2022-02,73.44
127,충주,2022-03,50.16
127,충주,2022-04,67.57
127,충주,2022-05,69.49
127,충주,2022-06,39.42
127,충주,2022-07,35.89
127,충주,2022-08,27.84
127,충주,2022-09,56.94
127,충주,2022-10,57.92
127,충주,2022-11,61.71
127,충주,2022-12,54.37
129,서산,2022-01,64.33
129,서산,2022-02,63.46
129,서산,2022-03,44.22
129,서산,2022-04,62.52
129,서산,2022-05,71.99
129,서산,2022-06,33.37
129,서산,2022-07,41.14
129,서산,2022-08,33.29
129,서산,2022-09,49.95
129,서산,2022-10,61.71
129,서산,2022-11,60.3
129,서산,2022-12,47.71
130,울진,2022-01,77.3
130,울진,2022-02,80.19
130,울진,2022-03,54.99
130,울진,2022-04,63.82
130,울진,2022-05,67.45
130,울진,2022-06,41.77
130,울진,2022-07,37.46
130,울진,2022-08,36.2
130,울진,2022-09,44.25
130,울진,2022-10,48.08
130,울진,2022-11,67.99
130,울진,2022-12,75.53
131,청주,2022-01,66.99
131,청주,2022-02,73.32
131,청주,2022-03,51.75
131,청주,2022-04,69.53
131,청주,2022-05,75.19
131,청주,2022-06,42.42
131,청주,2022-07,43.95
131,청주,2022-08,31.5
131,청주,2022-09,57.31
131,청주,2022-10,62.49
131,청주,2022-11,64.27
131,청주,2022-12,55.02
133,대전,2022-01,67.02
133,대전,2022-02,68.18
133,대전,2022-03,46.6
133,대전,2022-04,63.56
133,대전,2022-05,71.1
133,대전,2022-06,40.57
133,대전,2022-07,36.42
133,대전,2022-08,27.59
133,대전,2022-09,49.53
133,대전,2022-10,61.69
133,대전,2022-11,59.69
133,대전,2022-12,50.86
135,추풍령,2022-01,68.2
135,추풍령,2022-02,72.19
135,추풍령,2022-03,47.7
135,추풍령,2022-04,62.1
135,추풍령,2022-05,69.17
135,추풍령,2022-06,43.08
135,추풍령,2022-07,32.39
135,추풍령,2022-08,31.21
135,추풍령,2022-09,43.25
135,추풍령,2022-10,56.65
135,추풍령,2022-11,64.34
135,추풍령,2022-12,53.43
136,안동,2022-01,76.0
136,안동,2022-02,83.29
136,안동,2022-03,56.86
136,안동,2022-04,66.9
136,안동,2022-05,74.5
136,안동,2022-06,50.66
136,안동,2022-07,42.4
136,안동,2022-08,34.8
136,안동,2022-09,47.39
136,안동,2022-10,59.52
136,안동,2022-11,66.44
136,안동,2022-12,68.18
137,상주,2022-01,67.82
137,상주,2022-02,74.04
137,상주,2022-03,50.78
137,상주,2022-04,62.37
137,상주,2022-05,71.69
137,상주,2022-06,47.73
137,상주,2022-07,37.09
137,상주,2022-08,30.97
137,상주,2022-09,43.4
137,상주,2022-10,54.32
137,상주,2022-11,63.12
137,상주,2022-12,60.72
138,포항,2022-01,76.27
138,포항,2022-02,79.15
138,포항,2022-03,58.31
138,포항,2022-04,66.83
138,포항,2022-05,72.85
138,포항,2022-06,53.93
138,포항,2022-07,40.46
138,포항,2022-08,39.19
138,포항,2022-09,39.87
138,포항,2022-10,55.97
138,포항,2022-11,68.1
138,포항,2022-12,76.0
140,군산,2022-01,66.33
140,군산,2022-02,73.07
140,군산,2022-03,41.13
140,군산,2022-04,63.23
140,군산,2022-05,69.14
140,군산,2022-06,40.52
140,군산,2022-07,40.13
140,군산,2022-08,31.27
140,군산,2022-09,51.18
140,군산,2022-10,66.68
140,군산,2022-11,62.24
140,군산,2022-12,51.59
143,대구,2022-01,74.29
143,대구,2022-02,78.85
143,대구,2022-03,55.62
143,대구,2022-04,64.4
143,대구,2022-05,71.84
143,대구,2022-06,47.13
143,대구,2022-07,40.62
143,대구,2022-08,33.24
143,대구,2022-09,45.2
143,대구,2022-10,66.8
143,대구,2022-11,67.73
143,대구,2022-12,69.14
146,전주,2022-01,63.7
146,전주,2022-02,68.74
146,전주,2022-03,46.54
146,전주,2022-04,65.67
146,전주,2022-05,67.78
146,전주,2022-06,41.35
146,전주,2022-07,39.33
146,전주,2022-08,30.66
146,전주,2022-09,49.11
146,전주,2022-10,66.62
146,전주,2022-11,63.46
146,전주,2022-12,54.9
152,울산,2022-01,75.34
152,울산,2022-02,79.52
152,울산,2022-03,56.99
152,울산,2022-04,65.71
152,울산,2022-05,73.05
152,울산,2022-06,51.78
152,울산,2022-07,41.48
152,울산,2022-08,38.75
152,울산,2022-09,36.18
152,울산,2022-10,59.63
152,울산,2022-11,68.11
152,울산,2022-12,73.51
155,창원,2022-01,70.78
155,창원,2022-02,73.41
155,창원,2022-03,52.34
155,창원,2022-04,60.41
155,창원,2022-05,69.58
155,창원,2022-06,41.66
155,창원,2022-07,46.68
155,창원,2022-08,37.79
155,창원,2022-09,41.4
155,창원,2022-10,66.34
155,창원,2022-11,63.79
155,창원,2022-12,72.26
156,광주,2022-01,61.03
156,광주,2022-02,64.94
156,광주,2022-03,45.61
156,광주,2022-04,65.45
156,광주,2022-05,68.55
156,광주,2022-06,38.21
156,광주,2022-07,40.98
156,광주,2022-08,32.02
156,광주,2022-09,47.26
156,광주,2022-10,66.83
156,광주,2022-11,64.56
156,광주,2022-12,54.92
159,부산,2022-01,74.62
159,부산,2022-02,79.4
159,부산,2022-03,51.21
159,부산,2022-04,59.55
159,부산,2022-05,67.57
159,부산,2022-06,40.11
159,부산,2022-07,43.84
159,부산,2022-08,39.2
159,부산,2022-09,36.3
159,부산,2022-10,59.95
159,부산,2022-11,67.47
159,부산,2022-12,73.65
162,통영,2022-01,73.89
162,통영,2022-02,73.85
162,통영,2022-03,47.95
162,통영,2022-04,57.16
162,통영,2022-05,68.12
162,통영,2022-06,38.47
162,통영,2022-07,52.93
162,통영,2022-08,44.83
162,통영,2022-09,44.52
162,통영,2022-10,67.98
162,통영,2022-11,67.08
162,통영,2022-12,75.94
165,목포,2022-01,65.12
165,목포,2022-02,66.29
165,목포,2022-03,48.11
165,목포,2022-04,62.45
165,목포,2022-05,64.45
165,목포,2022-06,32.72
165,목포,2022-07,39.89
165,목포,2022-08,36.38
165,목포,2022-09,44.78
165,목포,2022-10,68.07
165,목포,2022-11,59.31
165,목포,2022-12,48.71
168,여수,2022-01,72.16
168,여수,2022-02,75.52
168,여수,2022-03,53.0
168,여수,2022-04,58.81
168,여수,2022-05,66.65
168,여수,2022-06,38.44
168,여수,2022-07,45.23
168,여수,2022-08,39.64
168,여수,2022-09,44.13
168,여수,2022-10,72.89
168,여수,2022-11,62.27
168,여수,2022-12,65.9
169,흑산도,2022-01,38.92
169,흑산도,2022-02,53.44
169,흑산도,2022-03,46.39
169,흑산도,2022-04,52.64
169,흑산도,2022-05,68.61
169,흑산도,2022-06,29.49
169,흑산도,2022-07,41.2
169,흑산도,2022-08,40.42
169,흑산도,2022-09,37.2
169,흑산도,2022-10,58.47
169,흑산도,2022-11,53.69
169,흑산도,2022-12,34.06
170,완도,2022-01,59.41
170,완도,2022-02,65.61
170,완도,2022-03,50.83
170,완도,2022-04,57.11
170,완도,2022-05,64.37
170,완도,2022-06,43.33
170,완도,2022-07,45.58
170,완도,2022-08,39.0
170,완도,2022-09,45.04
170,완도,2022-10,70.77
170,완도,2022-11,57.88
170,완도,2022-12,52.34
172,고창,2022-01,55.69
172,고창,2022-02,59.15
172,고창,2022-03,47.66
172,고창,2022-04,65.89
172,고창,2022-05,68.17
172,고창,2022-06,39.29
