지점,지점명,일시,합계 일조시간(hr)
90,속초,2022-01,227.2
90,속초,2022-02,243.8
90,속초,2022-03,189.4
90,속초,2022-04,269.0
90,속초,2022-05,312.7
90,속초,2022-06,169.6
90,속초,2022-07,135.5
90,속초,2022-08,151.1
90,속초,2022-09,203.7
90,속초,2022-10,153.8
90,속초,2022-11,198.8
90,속초,2022-12,233.5
93,북춘천,2022-01,219.2
93,북춘천,2022-02,224.1
93,북춘천,2022-03,195.6
93,북춘천,2022-04,264.2
93,북춘천,2022-05,281.3
93,북춘천,2022-06,142.7
93,북춘천,2022-07,174.6
93,북춘천,2022-08,121.9
93,북춘천,2022-09,207.0
93,북춘천,2022-10,186.3
93,북춘천,2022-11,175.7
93,북춘천,2022-12,190.6
95,철원,2022-01,211.0
95,철원,2022-02,219.4
95,철원,2022-03,219.7
95,철원,2022-04,281.5
95,철원,2022-05,327.7
95,철원,2022-06,195.6
95,철원,2022-07,227.5
95,철원,2022-08,176.3
95,철원,2022-09,236.3
95,철원,2022-10,211.6
95,철원,2022-11,179.3
95,철원,2022-12,197.1
98,동두천,2022-01,214.7
98,동두천,2022-02,220.0
98,동두천,2022-03,201.9
98,동두천,2022-04,262.9
98,동두천,2022-05,305.2
98,동두천,2022-06,162.2
98,동두천,2022-07,189.0
98,동두천,2022-08,143.4
98,동두천,2022-09,220.0
98,동두천,2022-10,204.7
98,동두천,2022-11,177.6
98,동두천,2022-12,198.8
99,파주,2022-01,218.6
99,파주,2022-02,222.0
99,파주,2022-03,195.4
99,파주,2022-04,271.2
99,파주,2022-05,301.9
99,파주,2022-06,156.6
99,파주,2022-07,187.4
99,파주,2022-08,160.6
99,파주,2022-09,214.8
99,파주,2022-10,217.2
99,파주,2022-11,171.1
99,파주,2022-12,207.1
100,대관령,2022-01,233.1
100,대관령,2022-02,251.3
100,대관령,2022-03,226.4
100,대관령,2022-04,280.0
100,대관령,2022-05,310.7
100,대관령,2022-06,184.3
100,대관령,2022-07,179.6
100,대관령,2022-08,137.1
100,대관령,2022-09,199.8
100,대관령,2022-10,166.7
100,대관령,2022-11,208.4
100,대관령,2022-12,123.1
101,춘천,2022-01,193.5
101,춘천,2022-02,215.8
101,춘천,2022-03,192.4
101,춘천,2022-04,262.3
101,춘천,2022-05,302.9
101,춘천,2022-06,171.0
101,춘천,2022-07,187.3
101,춘천,2022-08,141.1
101,춘천,2022-09,199.4
101,춘천,2022-10,180.9
101,춘천,2022-11,165.9
101,춘천,2022-12,173.5
102,백령도,2022-01,173.5
102,백령도,2022-02,172.8
102,백령도,2022-03,181.2
102,백령도,2022-04,252.3
102,백령도,2022-05,249.7
102,백령도,2022-06,107.8
102,백령도,2022-07,174.3
102,백령도,2022-08,187.3
102,백령도,2022-09,231.4
102,백령도,2022-10,217.1
102,백령도,2022-11,146.9
102,백령도,2022-12,121.1
104,북강릉,2022-01,231.4
104,북강릉,2022-02,246.4
104,북강릉,2022-03,192.2
104,북강릉,2022-04,255.9
104,북강릉,2022-05,305.7
104,북강릉,2022-06,178.0
104,북강릉,2022-07,135.6
104,북강릉,2022-08,136.2
104,북강릉,2022-09,200.2
104,북강릉,2022-10,151.9
104,북강릉,2022-11,198.1
104,북강릉,2022-12,225.3
105,강릉,2022-01,222.3
105,강릉,2022-02,239.3
105,강릉,2022-03,193.2
105,강릉,2022-04,251.0
105,강릉,2022-05,273.0
105,강릉,2022-06,162.8
105,강릉,2022-07,115.8
105,강릉,2022-08,126.5
105,강릉,2022-09,184.5
105,강릉,2022-10,144.7
105,강릉,2022-11,186.7
105,강릉,2022-12,215.4
106,동해,2022-01,222.6
106,동해,2022-02,237.0
106,동해,2022-03,200.3
106,동해,2022-04,251.9
106,동해,2022-05,283.3
106,동해,2022-06,171.7
106,동해,2022-07,149.2
106,동해,2022-08,134.6
106,동해,2022-09,187.6
106,동해,2022-10,153.4
106,동해,2022-11,188.9
106,동해,2022-12,222.0
108,서울,2022-01,206.9
108,서울,2022-02,203.8
108,서울,2022-03,173.0
108,서울,2022-04,246.4
108,서울,2022-05,302.3
108,서울,2022-06,131.9
108,서울,2022-07,140.1
108,서울,2022-08,116.3
108,서울,2022-09,203.9
108,서울,2022-10,216.0
108,서울,2022-11,187.5
108,서울,2022-12,197.1
112,인천,2022-01,213.5
112,인천,2022-02,215.5
112,인천,2022-03,180.2
112,인천,2022-04,248.6
112,인천,2022-05,301.6
112,인천,2022-06,145.9
112,인천,2022-07,198.5
112,인천,2022-08,147.4
112,인천,2022-09,208.3
112,인천,2022-10,231.3
112,인천,2022-11,188.9
112,인천,2022-12,192.4
114,원주,2022-01,208.2
114,원주,2022-02,219.4
114,원주,2022-03,179.6
114,원주,2022-04,250.8
114,원주,2022-05,301.9
114,원주,2022-06,168.5
114,원주,2022-07,181.2
114,원주,2022-08,126.9
114,원주,2022-09,194.8
114,원주,2022-10,196.2
114,원주,2022-11,190.3
114,원주,2022-12,183.2
115,울릉도,2022-01,92.6
115,울릉도,2022-02,92.3
115,울릉도,2022-03,169.0
115,울릉도,2022-04,258.2
115,울릉도,2022-05,310.2
115,울릉도,2022-06,181.0
115,울릉도,2022-07,158.3
115,울릉도,2022-08,149.9
115,울릉도,2022-09,158.1
115,울릉도,2022-10,141.4
115,울릉도,2022-11,141.2
115,울릉도,2022-12,70.0
119,수원,2022-01,219.2
119,수원,2022-02,227.2
119,수원,2022-03,185.5
119,수원,2022-04,256.8
119,수원,2022-05,317.2
119,수원,2022-06,162.1
119,수원,2022-07,196.1
119,수원,2022-08,145.7
119,수원,2022-09,215.3
119,수원,2022-10,236.2
119,수원,2022-11,200.6
119,수원,2022-12,202.8
121,영월,2022-01,206.5
121,영월,2022-02,226.4
121,영월,2022-03,182.4
121,영월,2022-04,249.6
121,영월,2022-05,274.2
121,영월,2022-06,171.8
121,영월,2022-07,174.7
121,영월,2022-08,116.0
121,영월,2022-09,173.3
121,영월,2022-10,159.1
121,영월,2022-11,171.4
121,영월,2022-12,170.3
127,충주,2022-01,204.5
127,충주,2022-02,222.9
127,충주,2022-03,186.1
127,충주,2022-04,266.5
127,충주,2022-05,304.8
127,충주,2022-06,173.5
127,충주,2022-07,160.5
127,충주,2022-08,117.0
127,충주,2022-09,212.4
127,충주,2022-10,202.1
127,충주,2022-11,189.4
127,충주,2022-12,163.1
129,서산,2022-01,198.9
129,서산,2022-02,192.8
129,서산,2022-03,164.1
129,서산,2022-04,246.4
129,서산,2022-05,315.6
