지점,지점명,일시,평균풍속(m/s)
90,속초,2023-01,2.0
90,속초,2023-02,1.9
90,속초,2023-03,2.1
90,속초,2023-04,2.2
90,속초,2023-05,1.9
90,속초,2023-06,1.8
90,속초,2023-07,1.5
90,속초,2023-08,1.4
90,속초,2023-09,1.4
90,속초,2023-10,1.8
90,속초,2023-11,2.4
90,속초,2023-12,2.3
93,북춘천,2023-01,0.8
93,북춘천,2023-02,1.0
93,북춘천,2023-03,1.3
93,북춘천,2023-04,1.6
93,북춘천,2023-05,1.4
93,북춘천,2023-06,1.3
93,북춘천,2023-07,1.1
93,북춘천,2023-08,1.1
93,북춘천,2023-09,0.9
93,북춘천,2023-10,0.8
93,북춘천,2023-11,1.3
93,북춘천,2023-12,1.1
95,철원,2023-01,0.9
95,철원,2023-02,1.0
95,철원,2023-03,1.2
95,철원,2023-04,1.6
95,철원,2023-05,1.5
95,철원,2023-06,1.3
95,철원,2023-07,1.3
95,철원,2023-08,1.5
95,철원,2023-09,1.2
95,철원,2023-10,0.9
95,철원,2023-11,1.3
95,철원,2023-12,1.4
98,동두천,2023-01,0.8
98,동두천,2023-02,0.9
98,동두천,2023-03,1.4
98,동두천,2023-04,1.5
98,동두천,2023-05,1.2
98,동두천,2023-06,1.1
98,동두천,2023-07,1.1
98,동두천,2023-08,1.0
98,동두천,2023-09,0.8
98,동두천,2023-10,0.8
98,동두천,2023-11,1.5
98,동두천,2023-12,1.3
99,파주,2023-01,1.0
99,파주,2023-02,1.1
99,파주,2023-03,1.5
99,파주,2023-04,1.7
99,파주,2023-05,1.4
99,파주,2023-06,1.1
99,파주,2023-07,1.2
99,파주,2023-08,1.2
99,파주,2023-09,1.2
99,파주,2023-10,1.0
99,파주,2023-11,1.6
99,파주,2023-12,1.5
100,대관령,2023-01,3.5
100,대관령,2023-02,2.7
100,대관령,2023-03,3.1
100,대관령,2023-04,4.0
100,대관령,2023-05,2.6
100,대관령,2023-06,2.7
100,대관령,2023-07,2.6
100,대관령,2023-08,2.1
100,대관령,2023-09,1.7
100,대관령,2023-10,2.1
100,대관령,2023-11,4.6
100,대관령,2023-12,3.8
101,춘천,2023-01,1.2
101,춘천,2023-02,1.3
101,춘천,2023-03,1.5
101,춘천,2023-04,1.8
101,춘천,2023-05,1.6
101,춘천,2023-06,1.6
101,춘천,2023-07,1.3
101,춘천,2023-08,1.6
101,춘천,2023-09,1.5
101,춘천,2023-10,1.1
101,춘천,2023-11,1.5
101,춘천,2023-12,1.4
102,백령도,2023-01,5.5
102,백령도,2023-02,4.4
