지점,지점명,일시,일조율(%)
90,속초,2023-01,70.65
90,속초,2023-02,61.89
90,속초,2023-03,60.46
90,속초,2023-04,53.61
90,속초,2023-05,52.66
90,속초,2023-06,55.26
90,속초,2023-07,40.95
90,속초,2023-08,47.36
90,속초,2023-09,41.91
90,속초,2023-10,62.69
90,속초,2023-11,68.58
90,속초,2023-12,58.72
93,북춘천,2023-01,59.8
93,북춘천,2023-02,71.59
93,북춘천,2023-03,73.58
93,북춘천,2023-04,52.67
93,북춘천,2023-05,63.84
93,북춘천,2023-06,54.88
93,북춘천,2023-07,42.9
93,북춘천,2023-08,48.05
93,북춘천,2023-09,49.12
93,북춘천,2023-10,56.26
93,북춘천,2023-11,59.64
93,북춘천,2023-12,55.29
95,철원,2023-01,57.95
95,철원,2023-02,67.32
95,철원,2023-03,69.61
95,철원,2023-04,54.1
95,철원,2023-05,63.62
95,철원,2023-06,54.66
95,철원,2023-07,44.92
95,철원,2023-08,46.97
95,철원,2023-09,51.59
95,철원,2023-10,65.89
95,철원,2023-11,52.87
95,철원,2023-12,50.02
98,동두천,2023-01,60.87
98,동두천,2023-02,65.25
98,동두천,2023-03,67.78
98,동두천,2023-04,50.32
98,동두천,2023-05,55.39
98,동두천,2023-06,43.6
98,동두천,2023-07,36.61
98,동두천,2023-08,38.28
98,동두천,2023-09,44.41
98,동두천,2023-10,59.21
98,동두천,2023-11,53.0
98,동두천,2023-12,50.96
99,파주,2023-01,60.52
99,파주,2023-02,66.43
99,파주,2023-03,64.27
99,파주,2023-04,46.94
99,파주,2023-05,52.79
99,파주,2023-06,42.62
99,파주,2023-07,35.11
99,파주,2023-08,37.93
99,파주,2023-09,44.97
99,파주,2023-10,58.3
99,파주,2023-11,54.87
99,파주,2023-12,48.88
100,대관령,2023-01,52.19
100,대관령,2023-02,60.13
100,대관령,2023-03,66.7
100,대관령,2023-04,55.28
100,대관령,2023-05,50.68
100,대관령,2023-06,49.38
100,대관령,2023-07,33.33
100,대관령,2023-08,33.67
100,대관령,2023-09,37.47
100,대관령,2023-10,60.14
100,대관령,2023-11,61.6
100,대관령,2023-12,53.85
101,춘천,2023-01,52.71
101,춘천,2023-02,64.44
101,춘천,2023-03,65.32
101,춘천,2023-04,44.12
101,춘천,2023-05,56.6
101,춘천,2023-06,51.14
101,춘천,2023-07,36.82
101,춘천,2023-08,41.1
101,춘천,2023-09,39.48
101,춘천,2023-10,46.84
101,춘천,2023-11,49.21
101,춘천,2023-12,43.8
102,백령도,2023-01,50.07
102,백령도,2023-02,68.18
102,백령도,2023-03,56.01
102,백령도,2023-04,48.56
102,백령도,2023-05,49.12
102,백령도,2023-06,52.06
102,백령도,2023-07,39.37
102,백령도,2023-08,49.41
102,백령도,2023-09,53.33
102,백령도,2023-10,61.65
102,백령도,2023-11,40.6
102,백령도,2023-12,28.37
104,북강릉,2023-01,71.53
104,북강릉,2023-02,57.52
104,북강릉,2023-03,61.24
