지점,지점명,일시,평균운량(1/10)
90,속초,2023-01,3.8
90,속초,2023-02,4.3
90,속초,2023-03,4.2
90,속초,2023-04,5.2
90,속초,2023-05,5.6
90,속초,2023-06,5.3
90,속초,2023-07,6.4
90,속초,2023-08,6.9
90,속초,2023-09,6.1
90,속초,2023-10,3.6
90,속초,2023-11,3.3
90,속초,2023-12,4.0
93,북춘천,2023-01,4.4
93,북춘천,2023-02,3.4
93,북춘천,2023-03,3.3
93,북춘천,2023-04,5.5
93,북춘천,2023-05,5.3
93,북춘천,2023-06,5.8
93,북춘천,2023-07,6.9
93,북춘천,2023-08,6.8
93,북춘천,2023-09,6.7
93,북춘천,2023-10,5.2
93,북춘천,2023-11,4.2
93,북춘천,2023-12,4.8
95,철원,2023-01,5.1
95,철원,2023-02,3.2
95,철원,2023-03,3.6
95,철원,2023-04,5.0
95,철원,2023-05,5.2
95,철원,2023-06,5.4
95,철원,2023-07,6.4
95,철원,2023-08,6.8
95,철원,2023-09,6.2
95,철원,2023-10,4.1
95,철원,2023-11,3.7
95,철원,2023-12,4.5
98,동두천,2023-01,3.7
98,동두천,2023-02,2.9
98,동두천,2023-03,3.5
98,동두천,2023-04,5.3
98,동두천,2023-05,5.3
98,동두천,2023-06,5.3
98,동두천,2023-07,6.1
98,동두천,2023-08,6.6
98,동두천,2023-09,6.2
98,동두천,2023-10,4.2
98,동두천,2023-11,3.7
98,동두천,2023-12,4.0
99,파주,2023-01,3.4
99,파주,2023-02,3.4
99,파주,2023-03,3.7
99,파주,2023-04,5.2
99,파주,2023-05,5.2
99,파주,2023-06,5.3
99,파주,2023-07,6.2
99,파주,2023-08,6.5
99,파주,2023-09,6.1
99,파주,2023-10,4.1
99,파주,2023-11,3.7
99,파주,2023-12,4.1
100,대관령,2023-01,3.7
100,대관령,2023-02,4.3
100,대관령,2023-03,3.9
100,대관령,2023-04,4.9
100,대관령,2023-05,5.8
100,대관령,2023-06,5.8
100,대관령,2023-07,6.8
100,대관령,2023-08,7.0
100,대관령,2023-09,6.4
100,대관령,2023-10,4.1
100,대관령,2023-11,3.4
100,대관령,2023-12,4.1
101,춘천,2023-01,3.8
101,춘천,2023-02,3.5
101,춘천,2023-03,3.4
101,춘천,2023-04,5.1
101,춘천,2023-05,5.3
101,춘천,2023-06,5.6
101,춘천,2023-07,6.3
101,춘천,2023-08,6.7
101,춘천,2023-09,6.3
101,춘천,2023-10,4.9
101,춘천,2023-11,3.6
101,춘천,2023-12,4.3
102,백령도,2023-01,4.8
102,백령도,2023-02,3.8
102,백령도,2023-03,5.3
102,백령도,2023-04,5.1
102,백령도,2023-05,6.0
102,백령도,2023-06,5.8
102,백령도,2023-07,6.8
102,백령도,2023-08,5.6
102,백령도,2023-09,5.6
102,백령도,2023-10,4.0
102,백령도,2023-11,6.6
102,백령도,2023-12,6.7
104,북강릉,2023-01,3.0
104,북강릉,2023-02,4.2
104,북강릉,2023-03,3.9
104,북강릉,2023-04,4.5
104,북강릉,2023-05,5.8
104,북강릉,2023-06,5.5
104,북강릉,2023-07,6.5
104,북강릉,2023-08,7.2
104,북강릉,2023-09,6.3
104,북강릉,2023-10,3.7
104,북강릉,2023-11,3.0
104,북강릉,2023-12,3.6
105,강릉,2023-01,3.6
105,강릉,2023-02,4.6
105,강릉,2023-03,4.1
105,강릉,2023-04,4.8
105,강릉,2023-05,5.9
105,강릉,2023-06,5.6
105,강릉,2023-07,6.4
105,강릉,2023-08,6.6
105,강릉,2023-09,6.1
105,강릉,2023-10,3.9
105,강릉,2023-11,3.4
105,강릉,2023-12,3.8
106,동해,2023-01,3.5
106,동해,2023-02,4.8
106,동해,2023-03,4.1
106,동해,2023-04,4.6
106,동해,2023-05,5.6
106,동해,2023-06,5.7
106,동해,2023-07,6.5
106,동해,2023-08,6.5
106,동해,2023-09,5.9
106,동해,2023-10,3.9
106,동해,2023-11,3.3
106,동해,2023-12,3.8
108,서울,2023-01,3.6
108,서울,2023-02,3.5
108,서울,2023-03,3.4
108,서울,2023-04,5.4
108,서울,2023-05,5.3
108,서울,2023-06,5.7
108,서울,2023-07,6.7
108,서울,2023-08,6.5
108,서울,2023-09,6.2
108,서울,2023-10,3.7
108,서울,2023-11,3.8
108,서울,2023-12,4.4
112,인천,2023-01,3.6
112,인천,2023-02,3.5
112,인천,2023-03,3.9
112,인천,2023-04,5.3
112,인천,2023-05,5.4
112,인천,2023-06,5.7
112,인천,2023-07,6.7
112,인천,2023-08,6.2
112,인천,2023-09,6.1
112,인천,2023-10,3.7
112,인천,2023-11,4.2
