지점,지점명,일시,평균지면온도(°C)
90,속초,2024-01,0.3
90,속초,2024-02,2.2
90,속초,2024-03,6.6
90,속초,2024-04,15.3
90,속초,2024-05,19.0
90,속초,2024-06,25.5
90,속초,2024-07,27.1
90,속초,2024-08,30.5
90,속초,2024-09,23.3
90,속초,2024-10,15.5
90,속초,2024-11,8.7
90,속초,2024-12,0.5
93,북춘천,2024-01,-1.6
93,북춘천,2024-02,2.5
93,북춘천,2024-03,6.5
93,북춘천,2024-04,17.1
93,북춘천,2024-05,21.3
93,북춘천,2024-06,30.1
93,북춘천,2024-07,28.2
93,북춘천,2024-08,32.8
93,북춘천,2024-09,26.6
93,북춘천,2024-10,16.6
93,북춘천,2024-11,8.2
93,북춘천,2024-12,-1.7
95,철원,2024-01,-1.2
95,철원,2024-02,1.7
95,철원,2024-03,5.9
95,철원,2024-04,15.8
95,철원,2024-05,20.2
95,철원,2024-06,28.4
95,철원,2024-07,27.0
95,철원,2024-08,30.1
95,철원,2024-09,25.0
95,철원,2024-10,15.8
95,철원,2024-11,7.3
95,철원,2024-12,-1.1
98,동두천,2024-01,-1.2
98,동두천,2024-02,2.7
98,동두천,2024-03,6.6
98,동두천,2024-04,17.0
98,동두천,2024-05,21.3
98,동두천,2024-06,30.4
98,동두천,2024-07,27.6
98,동두천,2024-08,31.0
98,동두천,2024-09,26.2
98,동두천,2024-10,16.5
98,동두천,2024-11,8.0
98,동두천,2024-12,-1.0
99,파주,2024-01,-1.1
99,파주,2024-02,2.3
99,파주,2024-03,7.2
99,파주,2024-04,16.4
99,파주,2024-05,20.4
99,파주,2024-06,27.7
99,파주,2024-07,27.8
99,파주,2024-08,31.0
99,파주,2024-09,26.6
99,파주,2024-10,17.2
99,파주,2024-11,9.2
99,파주,2024-12,0.2
100,대관령,2024-01,-2.1
100,대관령,2024-02,-0.8
100,대관령,2024-03,0.2
100,대관령,2024-04,11.2
100,대관령,2024-05,16.8
100,대관령,2024-06,23.5
100,대관령,2024-07,23.2
100,대관령,2024-08,27.0
100,대관령,2024-09,21.1
100,대관령,2024-10,12.0
100,대관령,2024-11,5.5
100,대관령,2024-12,-2.6
101,춘천,2024-01,-1.5
101,춘천,2024-02,1.7
101,춘천,2024-03,6.3
101,춘천,2024-04,16.8
101,춘천,2024-05,21.3
101,춘천,2024-06,28.8
101,춘천,2024-07,28.3
101,춘천,2024-08,32.0
101,춘천,2024-09,26.5
101,춘천,2024-10,16.7
101,춘천,2024-11,8.1
101,춘천,2024-12,-1.5
102,백령도,2024-01,0.0
102,백령도,2024-02,2.6
102,백령도,2024-03,7.4
102,백령도,2024-04,15.6
102,백령도,2024-05,20.4
102,백령도,2024-06,28.1
102,백령도,2024-07,26.1
102,백령도,2024-08,30.0
102,백령도,2024-09,25.9
102,백령도,2024-10,16.4
102,백령도,2024-11,9.6
102,백령도,2024-12,3.1
104,북강릉,2024-01,0.4
104,북강릉,2024-02,1.6
104,북강릉,2024-03,6.6
104,북강릉,2024-04,16.3
104,북강릉,2024-05,21.8
104,북강릉,2024-06,28.1
104,북강릉,2024-07,27.9
104,북강릉,2024-08,32.7
104,북강릉,2024-09,24.1
104,북강릉,2024-10,16.1
104,북강릉,2024-11,9.4
104,북강릉,2024-12,0.2
105,강릉,2024-01,0.9
105,강릉,2024-02,2.6
105,강릉,2024-03,7.9
105,강릉,2024-04,16.6
105,강릉,2024-05,
105,강릉,2024-06,
105,강릉,2024-07,28.3
105,강릉,2024-08,35.1
105,강릉,2024-09,24.2
105,강릉,2024-10,16.1
105,강릉,2024-11,9.6
105,강릉,2024-12,0.5
106,동해,2024-01,0.6
106,동해,2024-02,2.9
106,동해,2024-03,6.8
106,동해,2024-04,16.2
106,동해,2024-05,22.8
106,동해,2024-06,27.9
106,동해,2024-07,29.0
106,동해,2024-08,32.4
106,동해,2024-09,25.0
106,동해,2024-10,16.6
106,동해,2024-11,9.7
106,동해,2024-12,1.0
108,서울,2024-01,-0.1
108,서울,2024-02,3.3
108,서울,2024-03,7.4
108,서울,2024-04,17.9
108,서울,2024-05,22.4
108,서울,2024-06,30.0
108,서울,2024-07,27.5
108,서울,2024-08,31.2
108,서울,2024-09,26.2
108,서울,2024-10,17.7
108,서울,2024-11,8.9
108,서울,2024-12,-0.4
112,인천,2024-01,0.4
112,인천,2024-02,3.7
112,인천,2024-03,7.4
112,인천,2024-04,16.3
112,인천,2024-05,19.6
112,인천,2024-06,27.6
112,인천,2024-07,27.2
112,인천,2024-08,30.8
112,인천,2024-09,26.8
112,인천,2024-10,17.6
112,인천,2024-11,9.5
112,인천,2024-12,1.2
114,원주,2024-01,-0.8
114,원주,2024-02,3.1
114,원주,2024-03,7.0
114,원주,2024-04,17.4
114,원주,2024-05,21.6
114,원주,2024-06,27.7
114,원주,2024-07,27.8
114,원주,2024-08,30.8
114,원주,2024-09,27.0
114,원주,2024-10,17.2
114,원주,2024-11,8.7
114,원주,2024-12,0.0
115,울릉도,2024-01,2.2
115,울릉도,2024-02,3.4
115,울릉도,2024-03,6.8
115,울릉도,2024-04,15.8
115,울릉도,2024-05,19.7
115,울릉도,2024-06,25.9
115,울릉도,2024-07,27.7
115,울릉도,2024-08,33.7
115,울릉도,2024-09,25.4
115,울릉도,2024-10,17.5
115,울릉도,2024-11,10.8
115,울릉도,2024-12,3.1
119,수원,2024-01,0.1
119,수원,2024-02,3.3
119,수원,2024-03,8.3
119,수원,2024-04,17.3
119,수원,2024-05,21.3
119,수원,2024-06,28.6
119,수원,2024-07,27.5
119,수원,2024-08,31.7
119,수원,2024-09,28.0
119,수원,2024-10,18.0
119,수원,2024-11,9.8
119,수원,2024-12,0.8
121,영월,2024-01,-2.4
121,영월,2024-02,1.7
121,영월,2024-03,5.5
121,영월,2024-04,15.3
121,영월,2024-05,20.1
121,영월,2024-06,27.0
121,영월,2024-07,25.9
121,영월,2024-08,31.8
121,영월,2024-09,25.5
121,영월,2024-10,15.9
121,영월,2024-11,7.8
121,영월,2024-12,0.0
127,충주,2024-01,0.7
127,충주,2024-02,4.2
127,충주,2024-03,7.7
127,충주,2024-04,16.7
127,충주,2024-05,20.8
127,충주,2024-06,28.3
127,충주,2024-07,28.4
127,충주,2024-08,31.2
127,충주,2024-09,28.2
127,충주,2024-10,17.7
127,충주,2024-11,9.6
127,충주,2024-12,1.0
129,서산,2024-01,1.8
129,서산,2024-02,4.4
129,서산,2024-03,8.8
129,서산,2024-04,17.4
129,서산,2024-05,20.8
129,서산,2024-06,27.8
129,서산,2024-07,27.7
129,서산,2024-08,30.2
129,서산,2024-09,27.3
129,서산,2024-10,17.3
129,서산,2024-11,9.9
129,서산,2024-12,2.6
130,울진,2024-01,1.2
130,울진,2024-02,3.9
130,울진,2024-03,7.6
130,울진,2024-04,16.6
130,울진,2024-05,21.8
130,울진,2024-06,26.6
130,울진,2024-07,28.3
130,울진,2024-08,32.4
130,울진,2024-09,25.2
130,울진,2024-10,16.6
130,울진,2024-11,10.4
130,울진,2024-12,1.3
131,청주,2024-01,2.0
131,청주,2024-02,4.9
131,청주,2024-03,9.7
131,청주,2024-04,18.6
131,청주,2024-05,23.2
131,청주,2024-06,30.3
131,청주,2024-07,29.2
131,청주,2024-08,33.3
131,청주,2024-09,29.0
131,청주,2024-10,18.8
131,청주,2024-11,11.7
131,청주,2024-12,3.0
133,대전,2024-01,1.4
133,대전,2024-02,4.9
133,대전,2024-03,8.5
133,대전,2024-04,18.7
133,대전,2024-05,23.0
133,대전,2024-06,30.2
133,대전,2024-07,28.6
133,대전,2024-08,33.2
133,대전,2024-09,29.4
133,대전,2024-10,17.5
133,대전,2024-11,9.5
133,대전,2024-12,1.4
135,추풍령,2024-01,0.4
135,추풍령,2024-02,3.5
135,추풍령,2024-03,8.2
135,추풍령,2024-04,16.9
135,추풍령,2024-05,20.8
135,추풍령,2024-06,25.9
135,추풍령,2024-07,28.0
135,추풍령,2024-08,31.1
135,추풍령,2024-09,26.9
135,추풍령,2024-10,16.3
135,추풍령,2024-11,9.2
135,추풍령,2024-12,1.3
136,안동,2024-01,0.4
136,안동,2024-02,4.8
136,안동,2024-03,8.5
136,안동,2024-04,18.5
136,안동,2024-05,23.5
136,안동,2024-06,29.5
136,안동,2024-07,31.1
136,안동,2024-08,35.6
136,안동,2024-09,28.9
136,안동,2024-10,18.0
136,안동,2024-11,9.7
136,안동,2024-12,-0.1
137,상주,2024-01,0.9
137,상주,2024-02,4.5
137,상주,2024-03,8.6
137,상주,2024-04,17.8
137,상주,2024-05,23.1
137,상주,2024-06,28.8
137,상주,2024-07,28.5
137,상주,2024-08,32.6
137,상주,2024-09,27.7
137,상주,2024-10,17.5
137,상주,2024-11,9.1
137,상주,2024-12,1.4
138,포항,2024-01,2.5
138,포항,2024-02,5.6
138,포항,2024-03,9.3
138,포항,2024-04,17.5
138,포항,2024-05,23.3
138,포항,2024-06,28.5
138,포항,2024-07,29.4
138,포항,2024-08,33.7
138,포항,2024-09,27.6
138,포항,2024-10,18.6
138,포항,2024-11,11.2
138,포항,2024-12,2.9
140,군산,2024-01,2.5
140,군산,2024-02,5.1
140,군산,2024-03,8.1
140,군산,2024-04,15.9
140,군산,2024-05,20.7
140,군산,2024-06,29.0
140,군산,2024-07,28.2
140,군산,2024-08,33.5
140,군산,2024-09,29.7
140,군산,2024-10,18.3
140,군산,2024-11,11.1
140,군산,2024-12,3.5
143,대구,2024-01,1.5
143,대구,2024-02,5.5
143,대구,2024-03,9.7
143,대구,2024-04,18.9
143,대구,2024-05,24.4
