지점,지점명,일시,합계 일사량(MJ/m2)
90,속초,2024-01,485.91
90,속초,2024-02,271.58
90,속초,2024-03,507.65
90,속초,2024-04,211.45
90,속초,2024-05,646.8
90,속초,2024-06,687.49
90,속초,2024-07,498.29
90,속초,2024-08,588.88
90,속초,2024-09,336.95
90,속초,2024-10,291.84
90,속초,2024-11,269.69
90,속초,2024-12,269.29
93,북춘천,2024-01,289.42
93,북춘천,2024-02,277.25
93,북춘천,2024-03,456.76
93,북춘천,2024-04,548.13
93,북춘천,2024-05,661.55
93,북춘천,2024-06,717.25
93,북춘천,2024-07,457.72
93,북춘천,2024-08,600.72
93,북춘천,2024-09,438.4
93,북춘천,2024-10,343.41
93,북춘천,2024-11,306.0
93,북춘천,2024-12,282.07
95,철원,2024-01,275.31
95,철원,2024-02,270.93
95,철원,2024-03,456.37
95,철원,2024-04,553.23
95,철원,2024-05,669.74
95,철원,2024-06,735.4
95,철원,2024-07,448.01
95,철원,2024-08,597.5
95,철원,2024-09,440.0
95,철원,2024-10,338.82
95,철원,2024-11,286.9
95,철원,2024-12,276.26
98,동두천,2024-01,265.52
98,동두천,2024-02,262.67
98,동두천,2024-03,451.79
98,동두천,2024-04,530.61
98,동두천,2024-05,634.12
98,동두천,2024-06,700.97
98,동두천,2024-07,402.69
98,동두천,2024-08,538.98
98,동두천,2024-09,415.65
98,동두천,2024-10,352.74
98,동두천,2024-11,284.53
98,동두천,2024-12,273.57
99,파주,2024-01,273.26
99,파주,2024-02,269.59
99,파주,2024-03,471.67
99,파주,2024-04,541.26
99,파주,2024-05,636.51
99,파주,2024-06,717.99
99,파주,2024-07,434.63
99,파주,2024-08,598.78
99,파주,2024-09,443.05
99,파주,2024-10,356.24
99,파주,2024-11,290.72
99,파주,2024-12,281.12
100,대관령,2024-01,301.53
100,대관령,2024-02,265.17
100,대관령,2024-03,432.38
100,대관령,2024-04,530.35
100,대관령,2024-05,573.93
100,대관령,2024-06,695.96
100,대관령,2024-07,468.15
100,대관령,2024-08,596.01
100,대관령,2024-09,396.67
100,대관령,2024-10,321.05
100,대관령,2024-11,274.61
100,대관령,2024-12,303.59
101,춘천,2024-01,258.9
101,춘천,2024-02,263.58
101,춘천,2024-03,427.33
101,춘천,2024-04,531.57
101,춘천,2024-05,659.64
101,춘천,2024-06,692.15
101,춘천,2024-07,457.84
