지점,지점명,일시,평균운량(1/10)
105,강릉,2020-01-01,4.8
105,강릉,2020-02-01,4.3
105,강릉,2020-03-01,3.8
105,강릉,2020-04-01,4.1
105,강릉,2020-05-01,5.7
105,강릉,2020-06-01,5.5
105,강릉,2020-07-01,6.9
105,강릉,2020-08-01,7.3
105,강릉,2020-09-01,6.1
105,강릉,2020-10-01,4.2
105,강릉,2020-11-01,3.7
105,강릉,2020-12-01,2.5
259,강진군,2020-01-01,5.9
259,강진군,2020-02-01,5.0
259,강진군,2020-03-01,4.5
259,강진군,2020-04-01,3.7
259,강진군,2020-05-01,6.2
259,강진군,2020-06-01,6.2
259,강진군,2020-07-01,8.1
259,강진군,2020-08-01,5.9
259,강진군,2020-09-01,6.4
259,강진군,2020-10-01,5.0
259,강진군,2020-11-01,4.8
259,강진군,2020-12-01,4.5
201,강화,2020-01-01,4.9
201,강화,2020-02-01,4.9
201,강화,2020-03-01,3.8
201,강화,2020-04-01,3.3
201,강화,2020-05-01,6.3
201,강화,2020-06-01,5.7
201,강화,2020-07-01,7.3
201,강화,2020-08-01,7.6
201,강화,2020-09-01,5.4
201,강화,2020-10-01,3.9
201,강화,2020-11-01,4.3
201,강화,2020-12-01,3.7
294,거제,2020-01-01,5.4
294,거제,2020-02-01,4.3
294,거제,2020-03-01,4.1
294,거제,2020-04-01,3.7
294,거제,2020-05-01,5.8
294,거제,2020-06-01,5.8
294,거제,2020-07-01,8.0
294,거제,2020-08-01,5.5
294,거제,2020-09-01,6.3
294,거제,2020-10-01,4.8
294,거제,2020-11-01,4.0
294,거제,2020-12-01,3.3
284,거창,2020-01-01,5.5
284,거창,2020-02-01,4.3
284,거창,2020-03-01,4.1
284,거창,2020-04-01,3.4
284,거창,2020-05-01,6.0
284,거창,2020-06-01,5.9
284,거창,2020-07-01,7.8
284,거창,2020-08-01,6.6
284,거창,2020-09-01,6.3
284,거창,2020-10-01,4.9
284,거창,2020-11-01,4.1
284,거창,2020-12-01,4.3
283,경주시,2020-01-01,5.5
283,경주시,2020-02-01,3.9
283,경주시,2020-03-01,4.1
283,경주시,2020-04-01,3.6
283,경주시,2020-05-01,6.0
283,경주시,2020-06-01,5.7
283,경주시,2020-07-01,7.7
283,경주시,2020-08-01,6.3
283,경주시,2020-09-01,6.2
283,경주시,2020-10-01,4.5
283,경주시,2020-11-01,3.8
283,경주시,2020-12-01,3.4
185,고산,2020-01-01,8.1
185,고산,2020-02-01,6.2
185,고산,2020-03-01,5.4
185,고산,2020-04-01,4.3
185,고산,2020-05-01,6.2
185,고산,2020-06-01,6.9
185,고산,2020-07-01,7.4
185,고산,2020-08-01,5.2
185,고산,2020-09-01,6.3
185,고산,2020-10-01,5.4
185,고산,2020-11-01,5.7
185,고산,2020-12-01,7.0
172,고창,2020-01-01,6.8
172,고창,2020-02-01,5.5
172,고창,2020-03-01,4.7
172,고창,2020-04-01,4.0
172,고창,2020-05-01,6.3
172,고창,2020-06-01,6.2
172,고창,2020-07-01,8.0
172,고창,2020-08-01,6.2
172,고창,2020-09-01,6.0
172,고창,2020-10-01,5.1
172,고창,2020-11-01,5.6
172,고창,2020-12-01,6.1
251,고창군,2020-01-01,6.4
251,고창군,2020-02-01,5.0
251,고창군,2020-03-01,4.5
251,고창군,2020-04-01,3.7
251,고창군,2020-05-01,6.2
251,고창군,2020-06-01,6.2
251,고창군,2020-07-01,8.1
251,고창군,2020-08-01,6.2
251,고창군,2020-09-01,5.9
251,고창군,2020-10-01,5.1
251,고창군,2020-11-01,5.3
251,고창군,2020-12-01,5.7
262,고흥,2020-01-01,5.8
262,고흥,2020-02-01,4.7
262,고흥,2020-03-01,4.3
262,고흥,2020-04-01,3.7
262,고흥,2020-05-01,5.9
262,고흥,2020-06-01,6.1
262,고흥,2020-07-01,7.9
262,고흥,2020-08-01,5.8
262,고흥,2020-09-01,6.2
262,고흥,2020-10-01,4.7
262,고흥,2020-11-01,4.7
262,고흥,2020-12-01,4.1
266,광양시,2020-01-01,5.4
266,광양시,2020-02-01,4.4
266,광양시,2020-03-01,4.0
266,광양시,2020-04-01,3.5
266,광양시,2020-05-01,5.9
266,광양시,2020-06-01,6.1
266,광양시,2020-07-01,8.0
266,광양시,2020-08-01,6.1
266,광양시,2020-09-01,6.2
266,광양시,2020-10-01,4.7
266,광양시,2020-11-01,4.2
266,광양시,2020-12-01,3.8
156,광주,2020-01-01,6.3
156,광주,2020-02-01,4.9
156,광주,2020-03-01,4.0
156,광주,2020-04-01,3.3
156,광주,2020-05-01,6.1
156,광주,2020-06-01,6.5
156,광주,2020-07-01,8.7
156,광주,2020-08-01,6.6
156,광주,2020-09-01,6.3
156,광주,2020-10-01,4.6
156,광주,2020-11-01,4.8
156,광주,2020-12-01,4.8
279,구미,2020-01-01,5.7
279,구미,2020-02-01,4.2
279,구미,2020-03-01,3.8
279,구미,2020-04-01,3.4
279,구미,2020-05-01,5.8
279,구미,2020-06-01,5.8
279,구미,2020-07-01,7.7
279,구미,2020-08-01,6.5
279,구미,2020-09-01,6.0
279,구미,2020-10-01,4.7
279,구미,2020-11-01,4.0
279,구미,2020-12-01,3.5
140,군산,2020-01-01,6.4
140,군산,2020-02-01,4.6
140,군산,2020-03-01,4.3
140,군산,2020-04-01,3.5
140,군산,2020-05-01,6.0
140,군산,2020-06-01,6.1
140,군산,2020-07-01,7.8
140,군산,2020-08-01,6.6
140,군산,2020-09-01,5.6
140,군산,2020-10-01,4.7
140,군산,2020-11-01,5.1
140,군산,2020-12-01,5.3
238,금산,2020-01-01,6.0
238,금산,2020-02-01,4.6
238,금산,2020-03-01,3.9
238,금산,2020-04-01,3.3
238,금산,2020-05-01,5.9
238,금산,2020-06-01,6.4
238,금산,2020-07-01,7.9
238,금산,2020-08-01,6.8
238,금산,2020-09-01,5.9
238,금산,2020-10-01,4.8
238,금산,2020-11-01,4.4
238,금산,2020-12-01,4.3
253,김해시,2020-01-01,5.3
253,김해시,2020-02-01,3.9
253,김해시,2020-03-01,4.0
253,김해시,2020-04-01,3.7
253,김해시,2020-05-01,6.0
253,김해시,2020-06-01,5.6
253,김해시,2020-07-01,7.8
253,김해시,2020-08-01,6.1
253,김해시,2020-09-01,6.3
253,김해시,2020-10-01,4.5
253,김해시,2020-11-01,3.9
253,김해시,2020-12-01,3.2
247,남원,2020-01-01,6.0
247,남원,2020-02-01,5.0
247,남원,2020-03-01,4.5
247,남원,2020-04-01,3.7
247,남원,2020-05-01,6.3
247,남원,2020-06-01,6.2
247,남원,2020-07-01,8.0
247,남원,2020-08-01,6.5
247,남원,2020-09-01,6.4
247,남원,2020-10-01,5.0
247,남원,2020-11-01,4.7
247,남원,2020-12-01,4.9
295,남해,2020-01-01,5.5
295,남해,2020-02-01,4.4
295,남해,2020-03-01,3.9
295,남해,2020-04-01,3.6
295,남해,2020-05-01,5.8
295,남해,2020-06-01,6.0
295,남해,2020-07-01,8.0
295,남해,2020-08-01,5.6
295,남해,2020-09-01,6.3
295,남해,2020-10-01,4.7
295,남해,2020-11-01,4.3
295,남해,2020-12-01,3.7
100,대관령,2020-01-01,5.1
100,대관령,2020-02-01,4.5
100,대관령,2020-03-01,4.0
100,대관령,2020-04-01,4.3
100,대관령,2020-05-01,5.7
100,대관령,2020-06-01,5.7
100,대관령,2020-07-01,7.0
100,대관령,2020-08-01,7.5
100,대관령,2020-09-01,6.5
100,대관령,2020-10-01,4.7
100,대관령,2020-11-01,3.8
100,대관령,2020-12-01,3.1
143,대구,2020-01-01,5.7
143,대구,2020-02-01,4.5
143,대구,2020-03-01,3.8
143,대구,2020-04-01,3.5
143,대구,2020-05-01,5.8
143,대구,2020-06-01,5.7
143,대구,2020-07-01,8.2
143,대구,2020-08-01,6.4
143,대구,2020-09-01,6.3
143,대구,2020-10-01,4.2
143,대구,2020-11-01,3.6
143,대구,2020-12-01,3.2
133,대전,2020-01-01,6.0
133,대전,2020-02-01,4.8
133,대전,2020-03-01,3.6
133,대전,2020-04-01,3.0
133,대전,2020-05-01,6.1
133,대전,2020-06-01,6.2
133,대전,2020-07-01,8.4
133,대전,2020-08-01,6.9
133,대전,2020-09-01,5.9
133,대전,2020-10-01,4.2
133,대전,2020-11-01,4.6
133,대전,2020-12-01,4.1
98,동두천,2020-01-01,4.7
98,동두천,2020-02-01,4.5
98,동두천,2020-03-01,3.6
98,동두천,2020-04-01,3.1
98,동두천,2020-05-01,6.3
98,동두천,2020-06-01,5.6
98,동두천,2020-07-01,7.3
98,동두천,2020-08-01,7.8
98,동두천,2020-09-01,5.9
98,동두천,2020-10-01,4.2
98,동두천,2020-11-01,4.0
98,동두천,2020-12-01,3.4
106,동해,2020-01-01,4.8
106,동해,2020-02-01,4.2
106,동해,2020-03-01,3.9
106,동해,2020-04-01,4.1
106,동해,2020-05-01,5.8
106,동해,2020-06-01,5.6
106,동해,2020-07-01,6.9
106,동해,2020-08-01,7.3
106,동해,2020-09-01,6.0
106,동해,2020-10-01,4.5
106,동해,2020-11-01,3.8
106,동해,2020-12-01,2.5
165,목포,2020-01-01,6.7
165,목포,2020-02-01,5.6
165,목포,2020-03-01,4.5
165,목포,2020-04-01,3.8
165,목포,2020-05-01,6.0
165,목포,2020-06-01,6.6
165,목포,2020-07-01,8.4
165,목포,2020-08-01,6.1
165,목포,2020-09-01,6.2
165,목포,2020-10-01,5.1
165,목포,2020-11-01,5.3
165,목포,2020-12-01,5.5
273,문경,2020-01-01,5.8
273,문경,2020-02-01,4.4
273,문경,2020-03-01,3.7
273,문경,2020-04-01,3.4
273,문경,2020-05-01,5.9
273,문경,2020-06-01,6.0
273,문경,2020-07-01,7.7
273,문경,2020-08-01,6.9
273,문경,2020-09-01,6.2
273,문경,2020-10-01,4.3
273,문경,2020-11-01,4.2
273,문경,2020-12-01,3.4
288,밀양,2020-01-01,5.5
288,밀양,2020-02-01,4.1
288,밀양,2020-03-01,4.0
288,밀양,2020-04-01,3.5
288,밀양,2020-05-01,5.9
288,밀양,2020-06-01,5.7
288,밀양,2020-07-01,7.6
288,밀양,2020-08-01,6.2
288,밀양,2020-09-01,6.5
288,밀양,2020-10-01,4.6
288,밀양,2020-11-01,3.7
288,밀양,2020-12-01,3.5
102,백령도,2020-01-01,5.7
102,백령도,2020-02-01,5.6
102,백령도,2020-03-01,3.4
102,백령도,2020-04-01,2.6
102,백령도,2020-05-01,6.8
102,백령도,2020-06-01,6.9
102,백령도,2020-07-01,7.2
102,백령도,2020-08-01,8.9
102,백령도,2020-09-01,5.3
102,백령도,2020-10-01,4.3
102,백령도,2020-11-01,5.0
102,백령도,2020-12-01,6.8
235,보령,2020-01-01,6.5
235,보령,2020-02-01,4.9
235,보령,2020-03-01,4.0
235,보령,2020-04-01,3.3
235,보령,2020-05-01,6.3
235,보령,2020-06-01,6.1
235,보령,2020-07-01,7.5
235,보령,2020-08-01,6.6
235,보령,2020-09-01,5.8
235,보령,2020-10-01,4.6
235,보령,2020-11-01,5.2
235,보령,2020-12-01,5.7
258,보성군,2020-01-01,5.9
258,보성군,2020-02-01,4.6
258,보성군,2020-03-01,4.3
258,보성군,2020-04-01,3.6
258,보성군,2020-05-01,6.2
258,보성군,2020-06-01,6.1
258,보성군,2020-07-01,8.0
258,보성군,2020-08-01,6.0
258,보성군,2020-09-01,6.5
258,보성군,2020-10-01,4.9
258,보성군,2020-11-01,4.7
258,보성군,2020-12-01,4.2
226,보은,2020-01-01,5.9
226,보은,2020-02-01,4.6
226,보은,2020-03-01,3.8
226,보은,2020-04-01,3.2
226,보은,2020-05-01,6.1
226,보은,2020-06-01,6.3
226,보은,2020-07-01,7.7
226,보은,2020-08-01,7.0
226,보은,2020-09-01,6.1
226,보은,2020-10-01,4.6
226,보은,2020-11-01,4.3
226,보은,2020-12-01,4.1
271,봉화,2020-01-01,5.5
271,봉화,2020-02-01,4.6
271,봉화,2020-03-01,4.0
271,봉화,2020-04-01,3.9
271,봉화,2020-05-01,6.1
271,봉화,2020-06-01,5.8
271,봉화,2020-07-01,7.4
271,봉화,2020-08-01,7.5
271,봉화,2020-09-01,6.9
271,봉화,2020-10-01,4.9
271,봉화,2020-11-01,3.8
271,봉화,2020-12-01,3.2
159,부산,2020-01-01,5.1
159,부산,2020-02-01,3.9
159,부산,2020-03-01,4.0
159,부산,2020-04-01,3.7
