지점,지점명,일시,평균기온(°C)
105,강릉,2021-01-01,0.6
105,강릉,2021-02-01,4.9
105,강릉,2021-03-01,9.7
105,강릉,2021-04-01,13.8
105,강릉,2021-05-01,17.9
105,강릉,2021-06-01,22.0
105,강릉,2021-07-01,26.7
105,강릉,2021-08-01,25.5
105,강릉,2021-09-01,21.7
105,강릉,2021-10-01,16.5
105,강릉,2021-11-01,11.1
105,강릉,2021-12-01,4.4
259,강진군,2021-01-01,1.4
259,강진군,2021-02-01,5.2
259,강진군,2021-03-01,10.1
259,강진군,2021-04-01,13.9
259,강진군,2021-05-01,17.8
259,강진군,2021-06-01,22.8
259,강진군,2021-07-01,26.6
259,강진군,2021-08-01,26.3
259,강진군,2021-09-01,22.9
259,강진군,2021-10-01,17.0
259,강진군,2021-11-01,9.8
259,강진군,2021-12-01,3.8
201,강화,2021-01-01,-3.3
201,강화,2021-02-01,1.3
201,강화,2021-03-01,6.9
201,강화,2021-04-01,12.4
201,강화,2021-05-01,15.7
201,강화,2021-06-01,20.7
201,강화,2021-07-01,26.1
201,강화,2021-08-01,24.5
201,강화,2021-09-01,21.3
201,강화,2021-10-01,14.4
201,강화,2021-11-01,7.1
201,강화,2021-12-01,-0.1
294,거제,2021-01-01,2.9
294,거제,2021-02-01,6.6
294,거제,2021-03-01,10.8
294,거제,2021-04-01,14.3
294,거제,2021-05-01,17.8
294,거제,2021-06-01,21.7
294,거제,2021-07-01,26.1
294,거제,2021-08-01,25.8
294,거제,2021-09-01,22.3
294,거제,2021-10-01,17.4
294,거제,2021-11-01,10.9
294,거제,2021-12-01,5.3
284,거창,2021-01-01,-1.0
284,거창,2021-02-01,3.2
284,거창,2021-03-01,8.7
284,거창,2021-04-01,12.8
284,거창,2021-05-01,16.4
284,거창,2021-06-01,21.5
284,거창,2021-07-01,25.1
284,거창,2021-08-01,24.2
284,거창,2021-09-01,20.3
284,거창,2021-10-01,14.0
284,거창,2021-11-01,7.0
284,거창,2021-12-01,1.6
283,경주시,2021-01-01,0.0
283,경주시,2021-02-01,4.7
283,경주시,2021-03-01,9.2
283,경주시,2021-04-01,13.1
283,경주시,2021-05-01,17.4
283,경주시,2021-06-01,22.3
283,경주시,2021-07-01,26.1
283,경주시,2021-08-01,25.0
283,경주시,2021-09-01,21.4
283,경주시,2021-10-01,15.7
283,경주시,2021-11-01,8.7
283,경주시,2021-12-01,2.6
185,고산,2021-01-01,6.9
185,고산,2021-02-01,9.0
185,고산,2021-03-01,12.0
185,고산,2021-04-01,14.9
185,고산,2021-05-01,17.9
185,고산,2021-06-01,22.5
185,고산,2021-07-01,26.6
185,고산,2021-08-01,26.5
185,고산,2021-09-01,24.2
185,고산,2021-10-01,19.9
185,고산,2021-11-01,14.1
185,고산,2021-12-01,9.2
172,고창,2021-01-01,0.0
172,고창,2021-02-01,3.8
172,고창,2021-03-01,8.3
172,고창,2021-04-01,13.2
172,고창,2021-05-01,17.1
172,고창,2021-06-01,22.7
172,고창,2021-07-01,26.8
172,고창,2021-08-01,25.7
172,고창,2021-09-01,22.4
172,고창,2021-10-01,15.8
172,고창,2021-11-01,9.2
172,고창,2021-12-01,2.8
251,고창군,2021-01-01,0.0
251,고창군,2021-02-01,4.0
251,고창군,2021-03-01,8.6
251,고창군,2021-04-01,13.5
251,고창군,2021-05-01,17.2
251,고창군,2021-06-01,22.4
251,고창군,2021-07-01,26.6
251,고창군,2021-08-01,25.3
251,고창군,2021-09-01,22.3
251,고창군,2021-10-01,15.8
251,고창군,2021-11-01,8.9
251,고창군,2021-12-01,2.8
262,고흥,2021-01-01,1.4
262,고흥,2021-02-01,5.2
262,고흥,2021-03-01,9.6
262,고흥,2021-04-01,13.4
262,고흥,2021-05-01,17.3
262,고흥,2021-06-01,21.7
262,고흥,2021-07-01,25.8
262,고흥,2021-08-01,25.7
262,고흥,2021-09-01,22.1
262,고흥,2021-10-01,16.4
262,고흥,2021-11-01,9.7
262,고흥,2021-12-01,3.7
266,광양시,2021-01-01,2.5
266,광양시,2021-02-01,6.2
266,광양시,2021-03-01,11.3
266,광양시,2021-04-01,14.9
266,광양시,2021-05-01,18.4
266,광양시,2021-06-01,22.8
266,광양시,2021-07-01,26.7
266,광양시,2021-08-01,26.3
266,광양시,2021-09-01,22.6
266,광양시,2021-10-01,17.8
266,광양시,2021-11-01,11.2
266,광양시,2021-12-01,5.2
156,광주,2021-01-01,1.4
156,광주,2021-02-01,5.1
156,광주,2021-03-01,10.6
156,광주,2021-04-01,14.9
156,광주,2021-05-01,18.4
156,광주,2021-06-01,23.3
156,광주,2021-07-01,27.0
156,광주,2021-08-01,25.8
156,광주,2021-09-01,22.9
156,광주,2021-10-01,17.2
156,광주,2021-11-01,10.2
156,광주,2021-12-01,4.1
279,구미,2021-01-01,-0.4
279,구미,2021-02-01,3.9
279,구미,2021-03-01,9.8
279,구미,2021-04-01,14.5
279,구미,2021-05-01,17.7
279,구미,2021-06-01,23.2
279,구미,2021-07-01,26.5
279,구미,2021-08-01,24.9
279,구미,2021-09-01,21.2
279,구미,2021-10-01,15.2
279,구미,2021-11-01,8.5
279,구미,2021-12-01,2.3
140,군산,2021-01-01,0.0
140,군산,2021-02-01,3.8
140,군산,2021-03-01,8.3
140,군산,2021-04-01,13.3
140,군산,2021-05-01,16.6
140,군산,2021-06-01,22.1
140,군산,2021-07-01,26.6
140,군산,2021-08-01,25.5
140,군산,2021-09-01,22.3
140,군산,2021-10-01,16.0
140,군산,2021-11-01,9.6
140,군산,2021-12-01,3.1
238,금산,2021-01-01,-2.0
238,금산,2021-02-01,2.9
238,금산,2021-03-01,8.4
238,금산,2021-04-01,13.3
238,금산,2021-05-01,16.5
238,금산,2021-06-01,22.1
238,금산,2021-07-01,26.1
238,금산,2021-08-01,24.4
238,금산,2021-09-01,21.1
238,금산,2021-10-01,13.8
238,금산,2021-11-01,7.1
238,금산,2021-12-01,0.9
253,김해시,2021-01-01,1.8
253,김해시,2021-02-01,6.1
253,김해시,2021-03-01,10.8
253,김해시,2021-04-01,14.6
253,김해시,2021-05-01,18.0
253,김해시,2021-06-01,22.2
253,김해시,2021-07-01,26.5
253,김해시,2021-08-01,26.2
253,김해시,2021-09-01,22.6
253,김해시,2021-10-01,17.6
253,김해시,2021-11-01,10.9
253,김해시,2021-12-01,4.3
247,남원,2021-01-01,-0.8
247,남원,2021-02-01,3.2
247,남원,2021-03-01,9.2
247,남원,2021-04-01,13.7
247,남원,2021-05-01,17.1
247,남원,2021-06-01,22.4
247,남원,2021-07-01,26.1
247,남원,2021-08-01,25.1
247,남원,2021-09-01,21.8
247,남원,2021-10-01,14.8
247,남원,2021-11-01,7.2
247,남원,2021-12-01,1.2
295,남해,2021-01-01,2.3
295,남해,2021-02-01,6.1
295,남해,2021-03-01,10.6
295,남해,2021-04-01,14.3
295,남해,2021-05-01,18.3
295,남해,2021-06-01,22.1
295,남해,2021-07-01,26.1
295,남해,2021-08-01,26.1
295,남해,2021-09-01,22.2
295,남해,2021-10-01,17.2
295,남해,2021-11-01,10.7
295,남해,2021-12-01,4.9
100,대관령,2021-01-01,-7.3
100,대관령,2021-02-01,-2.0
100,대관령,2021-03-01,3.0
100,대관령,2021-04-01,7.5
100,대관령,2021-05-01,11.8
100,대관령,2021-06-01,16.8
100,대관령,2021-07-01,21.4
100,대관령,2021-08-01,19.6
100,대관령,2021-09-01,15.7
100,대관령,2021-10-01,9.7
100,대관령,2021-11-01,2.7
100,대관령,2021-12-01,-3.9
143,대구,2021-01-01,0.5
143,대구,2021-02-01,4.8
143,대구,2021-03-01,10.2
143,대구,2021-04-01,14.5
143,대구,2021-05-01,18.3
143,대구,2021-06-01,23.2
143,대구,2021-07-01,26.9
143,대구,2021-08-01,25.7
143,대구,2021-09-01,22.1
143,대구,2021-10-01,16.5
143,대구,2021-11-01,9.5
143,대구,2021-12-01,3.1
133,대전,2021-01-01,-1.0
133,대전,2021-02-01,4.0
133,대전,2021-03-01,9.6
133,대전,2021-04-01,14.7
133,대전,2021-05-01,17.7
133,대전,2021-06-01,23.5
133,대전,2021-07-01,27.8
133,대전,2021-08-01,25.8
133,대전,2021-09-01,22.4
133,대전,2021-10-01,15.7
133,대전,2021-11-01,8.9
133,대전,2021-12-01,1.9
98,동두천,2021-01-01,-4.2
98,동두천,2021-02-01,1.3
98,동두천,2021-03-01,7.7
98,동두천,2021-04-01,13.0
98,동두천,2021-05-01,15.8
98,동두천,2021-06-01,21.3
98,동두천,2021-07-01,26.4
98,동두천,2021-08-01,24.3
98,동두천,2021-09-01,20.8
98,동두천,2021-10-01,13.7
98,동두천,2021-11-01,6.4
98,동두천,2021-12-01,-1.1
106,동해,2021-01-01,0.6
106,동해,2021-02-01,4.6
106,동해,2021-03-01,8.6
106,동해,2021-04-01,11.9
106,동해,2021-05-01,15.8
106,동해,2021-06-01,19.8
106,동해,2021-07-01,24.6
106,동해,2021-08-01,23.8
106,동해,2021-09-01,20.8
106,동해,2021-10-01,15.8
106,동해,2021-11-01,10.9
106,동해,2021-12-01,4.8
165,목포,2021-01-01,2.0
165,목포,2021-02-01,4.9
165,목포,2021-03-01,9.2
165,목포,2021-04-01,13.9
165,목포,2021-05-01,17.6
165,목포,2021-06-01,22.7
165,목포,2021-07-01,26.8
165,목포,2021-08-01,26.4
165,목포,2021-09-01,23.4
165,목포,2021-10-01,17.7
165,목포,2021-11-01,11.3
165,목포,2021-12-01,4.8
273,문경,2021-01-01,-2.2
273,문경,2021-02-01,2.7
273,문경,2021-03-01,8.5
273,문경,2021-04-01,12.9
273,문경,2021-05-01,15.9
273,문경,2021-06-01,21.3
273,문경,2021-07-01,25.3
273,문경,2021-08-01,23.6
273,문경,2021-09-01,19.9
273,문경,2021-10-01,14.0
273,문경,2021-11-01,7.5
273,문경,2021-12-01,1.1
288,밀양,2021-01-01,0.4
288,밀양,2021-02-01,4.3
288,밀양,2021-03-01,10.1
288,밀양,2021-04-01,14.0
288,밀양,2021-05-01,18.2
288,밀양,2021-06-01,23.2
288,밀양,2021-07-01,26.7
288,밀양,2021-08-01,26.2
288,밀양,2021-09-01,22.7
288,밀양,2021-10-01,16.5
288,밀양,2021-11-01,8.8
288,밀양,2021-12-01,2.8
102,백령도,2021-01-01,-1.0
102,백령도,2021-02-01,2.1
102,백령도,2021-03-01,6.1
102,백령도,2021-04-01,10.9
102,백령도,2021-05-01,14.5
102,백령도,2021-06-01,18.7
102,백령도,2021-07-01,24.0
