지점,지점명,일시,평균지면온도(°C)
105,강릉,2021-01-01,1.0
105,강릉,2021-02-01,7.4
105,강릉,2021-03-01,9.3
105,강릉,2021-04-01,16.5
105,강릉,2021-05-01,19.1
105,강릉,2021-06-01,25.9
105,강릉,2021-07-01,31.2
105,강릉,2021-08-01,26.8
105,강릉,2021-09-01,23.8
105,강릉,2021-10-01,17.3
105,강릉,2021-11-01,9.7
105,강릉,2021-12-01,4.0
259,강진군,2021-01-01,2.7
259,강진군,2021-02-01,5.1
259,강진군,2021-03-01,11.0
259,강진군,2021-04-01,15.8
259,강진군,2021-05-01,20.1
259,강진군,2021-06-01,25.8
259,강진군,2021-07-01,28.3
259,강진군,2021-08-01,28.1
259,강진군,2021-09-01,23.9
259,강진군,2021-10-01,18.2
259,강진군,2021-11-01,10.0
259,강진군,2021-12-01,4.6
201,강화,2021-01-01,-1.2
201,강화,2021-02-01,2.2
201,강화,2021-03-01,8.3
201,강화,2021-04-01,14.2
201,강화,2021-05-01,18.3
201,강화,2021-06-01,24.9
201,강화,2021-07-01,31.0
201,강화,2021-08-01,28.3
201,강화,2021-09-01,23.8
201,강화,2021-10-01,16.4
201,강화,2021-11-01,7.2
201,강화,2021-12-01,0.3
294,거제,2021-01-01,3.0
294,거제,2021-02-01,7.2
294,거제,2021-03-01,12.5
294,거제,2021-04-01,18.3
294,거제,2021-05-01,21.4
294,거제,2021-06-01,26.2
294,거제,2021-07-01,29.9
294,거제,2021-08-01,27.9
294,거제,2021-09-01,23.8
294,거제,2021-10-01,19.1
294,거제,2021-11-01,10.2
294,거제,2021-12-01,4.5
284,거창,2021-01-01,-0.1
284,거창,2021-02-01,3.7
284,거창,2021-03-01,9.7
284,거창,2021-04-01,15.4
284,거창,2021-05-01,19.3
284,거창,2021-06-01,24.9
284,거창,2021-07-01,29.5
284,거창,2021-08-01,27.5
284,거창,2021-09-01,23.0
284,거창,2021-10-01,17.0
284,거창,2021-11-01,7.7
284,거창,2021-12-01,1.9
283,경주시,2021-01-01,0.0
283,경주시,2021-02-01,4.6
283,경주시,2021-03-01,10.5
283,경주시,2021-04-01,16.1
283,경주시,2021-05-01,19.9
283,경주시,2021-06-01,25.3
283,경주시,2021-07-01,29.6
283,경주시,2021-08-01,27.0
283,경주시,2021-09-01,22.8
283,경주시,2021-10-01,17.1
283,경주시,2021-11-01,8.2
283,경주시,2021-12-01,2.1
185,고산,2021-01-01,5.8
185,고산,2021-02-01,9.1
185,고산,2021-03-01,13.4
185,고산,2021-04-01,18.6
185,고산,2021-05-01,21.8
185,고산,2021-06-01,26.6
185,고산,2021-07-01,28.7
185,고산,2021-08-01,28.5
185,고산,2021-09-01,25.4
185,고산,2021-10-01,20.8
185,고산,2021-11-01,13.6
185,고산,2021-12-01,8.3
172,고창,2021-01-01,1.7
172,고창,2021-02-01,4.1
172,고창,2021-03-01,10.1
172,고창,2021-04-01,17.3
172,고창,2021-05-01,20.6
172,고창,2021-06-01,26.1
172,고창,2021-07-01,30.0
172,고창,2021-08-01,28.3
172,고창,2021-09-01,24.0
172,고창,2021-10-01,17.6
172,고창,2021-11-01,9.2
172,고창,2021-12-01,3.4
251,고창군,2021-01-01,2.3
251,고창군,2021-02-01,4.7
251,고창군,2021-03-01,10.5
251,고창군,2021-04-01,15.7
251,고창군,2021-05-01,19.7
251,고창군,2021-06-01,25.4
251,고창군,2021-07-01,29.2
251,고창군,2021-08-01,28.3
251,고창군,2021-09-01,24.2
251,고창군,2021-10-01,16.8
251,고창군,2021-11-01,9.0
251,고창군,2021-12-01,3.5
262,고흥,2021-01-01,3.2
262,고흥,2021-02-01,7.3
262,고흥,2021-03-01,12.4
262,고흥,2021-04-01,17.3
262,고흥,2021-05-01,22.0
262,고흥,2021-06-01,27.5
262,고흥,2021-07-01,31.5
262,고흥,2021-08-01,31.0
262,고흥,2021-09-01,25.7
262,고흥,2021-10-01,19.0
262,고흥,2021-11-01,9.6
262,고흥,2021-12-01,3.3
266,광양시,2021-01-01,2.4
266,광양시,2021-02-01,6.2
266,광양시,2021-03-01,12.1
266,광양시,2021-04-01,17.4
266,광양시,2021-05-01,20.8
266,광양시,2021-06-01,26.8
266,광양시,2021-07-01,30.9
266,광양시,2021-08-01,29.0
266,광양시,2021-09-01,23.6
266,광양시,2021-10-01,19.0
266,광양시,2021-11-01,10.1
266,광양시,2021-12-01,4.0
156,광주,2021-01-01,3.0
156,광주,2021-02-01,5.7
156,광주,2021-03-01,12.2
156,광주,2021-04-01,18.6
156,광주,2021-05-01,22.0
156,광주,2021-06-01,27.5
156,광주,2021-07-01,31.6
156,광주,2021-08-01,28.3
156,광주,2021-09-01,24.9
156,광주,2021-10-01,18.7
156,광주,2021-11-01,10.0
156,광주,2021-12-01,4.1
279,구미,2021-01-01,-0.2
279,구미,2021-02-01,4.1
279,구미,2021-03-01,11.2
279,구미,2021-04-01,18.2
279,구미,2021-05-01,21.2
279,구미,2021-06-01,28.1
279,구미,2021-07-01,33.0
279,구미,2021-08-01,28.4
279,구미,2021-09-01,24.1
279,구미,2021-10-01,18.3
279,구미,2021-11-01,9.0
279,구미,2021-12-01,2.2
140,군산,2021-01-01,1.7
140,군산,2021-02-01,4.4
140,군산,2021-03-01,10.2
140,군산,2021-04-01,15.9
140,군산,2021-05-01,19.3
140,군산,2021-06-01,26.1
140,군산,2021-07-01,31.2
140,군산,2021-08-01,30.0
140,군산,2021-09-01,25.0
140,군산,2021-10-01,18.8
140,군산,2021-11-01,10.9
140,군산,2021-12-01,4.2
238,금산,2021-01-01,0.5
238,금산,2021-02-01,3.5
238,금산,2021-03-01,9.9
238,금산,2021-04-01,16.9
238,금산,2021-05-01,19.5
238,금산,2021-06-01,24.8
238,금산,2021-07-01,29.6
238,금산,2021-08-01,27.9
238,금산,2021-09-01,23.2
238,금산,2021-10-01,17.1
238,금산,2021-11-01,8.1
238,금산,2021-12-01,2.1
253,김해시,2021-01-01,2.6
253,김해시,2021-02-01,6.4
253,김해시,2021-03-01,12.5
253,김해시,2021-04-01,17.9
253,김해시,2021-05-01,20.6
253,김해시,2021-06-01,24.5
253,김해시,2021-07-01,29.1
253,김해시,2021-08-01,28.8
253,김해시,2021-09-01,23.8
253,김해시,2021-10-01,18.9
253,김해시,2021-11-01,10.4
253,김해시,2021-12-01,3.7
247,남원,2021-01-01,1.2
247,남원,2021-02-01,4.2
247,남원,2021-03-01,10.8
247,남원,2021-04-01,16.4
247,남원,2021-05-01,19.5
247,남원,2021-06-01,25.0
247,남원,2021-07-01,29.1
247,남원,2021-08-01,27.5
247,남원,2021-09-01,23.2
247,남원,2021-10-01,16.7
247,남원,2021-11-01,8.2
247,남원,2021-12-01,1.8
295,남해,2021-01-01,3.0
295,남해,2021-02-01,6.4
295,남해,2021-03-01,11.9
295,남해,2021-04-01,17.4
295,남해,2021-05-01,21.4
295,남해,2021-06-01,25.8
295,남해,2021-07-01,30.9
295,남해,2021-08-01,30.5
295,남해,2021-09-01,23.8
295,남해,2021-10-01,18.8
295,남해,2021-11-01,10.7
295,남해,2021-12-01,4.7
100,대관령,2021-01-01,-4.8
100,대관령,2021-02-01,-1.1
100,대관령,2021-03-01,3.1
100,대관령,2021-04-01,10.6
100,대관령,2021-05-01,14.6
100,대관령,2021-06-01,20.5
100,대관령,2021-07-01,27.5
100,대관령,2021-08-01,22.2
100,대관령,2021-09-01,18.6
100,대관령,2021-10-01,11.9
100,대관령,2021-11-01,2.8
100,대관령,2021-12-01,-2.9
143,대구,2021-01-01,0.9
143,대구,2021-02-01,5.0
143,대구,2021-03-01,11.1
143,대구,2021-04-01,18.1
143,대구,2021-05-01,21.5
143,대구,2021-06-01,26.9
143,대구,2021-07-01,30.6
143,대구,2021-08-01,28.1
143,대구,2021-09-01,24.3
143,대구,2021-10-01,18.5
143,대구,2021-11-01,9.3
143,대구,2021-12-01,2.8
133,대전,2021-01-01,0.0
133,대전,2021-02-01,3.8
133,대전,2021-03-01,9.7
133,대전,2021-04-01,16.4
133,대전,2021-05-01,19.8
133,대전,2021-06-01,25.7
133,대전,2021-07-01,30.8
133,대전,2021-08-01,27.7
133,대전,2021-09-01,23.9
133,대전,2021-10-01,16.6
133,대전,2021-11-01,8.4
133,대전,2021-12-01,1.7
98,동두천,2021-01-01,-3.1
98,동두천,2021-02-01,2.3
98,동두천,2021-03-01,10.2
98,동두천,2021-04-01,15.7
98,동두천,2021-05-01,19.3
98,동두천,2021-06-01,25.9
98,동두천,2021-07-01,32.2
98,동두천,2021-08-01,28.5
98,동두천,2021-09-01,23.7
98,동두천,2021-10-01,15.8
98,동두천,2021-11-01,6.6
98,동두천,2021-12-01,-0.5
106,동해,2021-01-01,-0.6
106,동해,2021-02-01,5.6
106,동해,2021-03-01,10.2
106,동해,2021-04-01,16.7
106,동해,2021-05-01,20.0
106,동해,2021-06-01,25.9
106,동해,2021-07-01,32.5
106,동해,2021-08-01,27.0
106,동해,2021-09-01,24.1
106,동해,2021-10-01,17.0
106,동해,2021-11-01,9.1
106,동해,2021-12-01,3.2
165,목포,2021-01-01,3.0
165,목포,2021-02-01,5.1
165,목포,2021-03-01,10.8
165,목포,2021-04-01,16.5
165,목포,2021-05-01,20.1
165,목포,2021-06-01,26.7
165,목포,2021-07-01,29.6
165,목포,2021-08-01,28.5
165,목포,2021-09-01,24.1
165,목포,2021-10-01,18.5
165,목포,2021-11-01,10.6
165,목포,2021-12-01,5.0
273,문경,2021-01-01,-0.9
273,문경,2021-02-01,3.0
273,문경,2021-03-01,9.3
273,문경,2021-04-01,15.8
273,문경,2021-05-01,18.9
273,문경,2021-06-01,24.9
273,문경,2021-07-01,29.9
273,문경,2021-08-01,26.9
