지점,지점명,일시,평균풍속(m/s)
105,강릉,2021-01-01,2.6
105,강릉,2021-02-01,2.9
105,강릉,2021-03-01,2.3
105,강릉,2021-04-01,2.2
105,강릉,2021-05-01,2.4
105,강릉,2021-06-01,1.8
105,강릉,2021-07-01,1.5
105,강릉,2021-08-01,1.8
105,강릉,2021-09-01,1.7
105,강릉,2021-10-01,1.9
105,강릉,2021-11-01,2.6
105,강릉,2021-12-01,2.9
259,강진군,2021-01-01,2.1
259,강진군,2021-02-01,2.6
259,강진군,2021-03-01,1.9
259,강진군,2021-04-01,2.2
259,강진군,2021-05-01,2.0
259,강진군,2021-06-01,1.6
259,강진군,2021-07-01,1.6
259,강진군,2021-08-01,1.3
259,강진군,2021-09-01,1.6
259,강진군,2021-10-01,1.4
259,강진군,2021-11-01,1.6
259,강진군,2021-12-01,1.9
201,강화,2021-01-01,1.7
201,강화,2021-02-01,2.1
201,강화,2021-03-01,2.2
201,강화,2021-04-01,2.3
201,강화,2021-05-01,2.3
201,강화,2021-06-01,1.8
201,강화,2021-07-01,1.5
201,강화,2021-08-01,1.6
201,강화,2021-09-01,1.8
201,강화,2021-10-01,1.6
201,강화,2021-11-01,1.5
201,강화,2021-12-01,1.5
294,거제,2021-01-01,1.5
294,거제,2021-02-01,1.7
294,거제,2021-03-01,1.7
294,거제,2021-04-01,1.8
294,거제,2021-05-01,1.7
294,거제,2021-06-01,1.6
294,거제,2021-07-01,1.8
294,거제,2021-08-01,1.5
294,거제,2021-09-01,1.4
294,거제,2021-10-01,1.0
294,거제,2021-11-01,1.1
294,거제,2021-12-01,1.4
284,거창,2021-01-01,1.5
284,거창,2021-02-01,1.8
284,거창,2021-03-01,1.5
284,거창,2021-04-01,1.7
284,거창,2021-05-01,1.6
284,거창,2021-06-01,1.2
284,거창,2021-07-01,1.1
284,거창,2021-08-01,1.0
284,거창,2021-09-01,1.1
284,거창,2021-10-01,1.0
284,거창,2021-11-01,1.4
284,거창,2021-12-01,1.7
283,경주시,2021-01-01,3.2
283,경주시,2021-02-01,3.4
283,경주시,2021-03-01,2.7
283,경주시,2021-04-01,3.1
283,경주시,2021-05-01,2.7
283,경주시,2021-06-01,2.1
283,경주시,2021-07-01,1.9
283,경주시,2021-08-01,1.8
283,경주시,2021-09-01,2.0
283,경주시,2021-10-01,1.9
283,경주시,2021-11-01,2.4
283,경주시,2021-12-01,3.1
185,고산,2021-01-01,9.8
185,고산,2021-02-01,8.6
185,고산,2021-03-01,6.7
185,고산,2021-04-01,6.4
185,고산,2021-05-01,6.1
185,고산,2021-06-01,4.5
185,고산,2021-07-01,5.2
185,고산,2021-08-01,4.7
185,고산,2021-09-01,5.0
185,고산,2021-10-01,5.7
185,고산,2021-11-01,8.4
185,고산,2021-12-01,9.6
172,고창,2021-01-01,2.9
172,고창,2021-02-01,3.1
172,고창,2021-03-01,2.9
172,고창,2021-04-01,3.1
172,고창,2021-05-01,3.2
172,고창,2021-06-01,2.5
172,고창,2021-07-01,2.5
172,고창,2021-08-01,2.3
172,고창,2021-09-01,2.6
172,고창,2021-10-01,2.3
172,고창,2021-11-01,2.6
172,고창,2021-12-01,2.9
251,고창군,2021-01-01,1.6
251,고창군,2021-02-01,1.9
251,고창군,2021-03-01,1.7
251,고창군,2021-04-01,1.9
251,고창군,2021-05-01,1.8
251,고창군,2021-06-01,1.4
251,고창군,2021-07-01,1.4
251,고창군,2021-08-01,1.2
251,고창군,2021-09-01,1.4
251,고창군,2021-10-01,1.3
251,고창군,2021-11-01,1.2
251,고창군,2021-12-01,1.6
262,고흥,2021-01-01,1.4
262,고흥,2021-02-01,1.9
262,고흥,2021-03-01,1.6
262,고흥,2021-04-01,1.7
262,고흥,2021-05-01,1.5
262,고흥,2021-06-01,1.1
262,고흥,2021-07-01,1.3
262,고흥,2021-08-01,1.1
262,고흥,2021-09-01,1.1
262,고흥,2021-10-01,0.9
262,고흥,2021-11-01,1.4
262,고흥,2021-12-01,1.8
266,광양시,2021-01-01,2.0
266,광양시,2021-02-01,2.4
266,광양시,2021-03-01,1.9
266,광양시,2021-04-01,2.0
266,광양시,2021-05-01,1.6
266,광양시,2021-06-01,1.3
266,광양시,2021-07-01,1.6
266,광양시,2021-08-01,1.3
266,광양시,2021-09-01,2.0
266,광양시,2021-10-01,1.1
266,광양시,2021-11-01,1.3
266,광양시,2021-12-01,1.7
156,광주,2021-01-01,1.5
156,광주,2021-02-01,1.5
156,광주,2021-03-01,1.5
156,광주,2021-04-01,1.4
156,광주,2021-05-01,1.4
156,광주,2021-06-01,1.3
156,광주,2021-07-01,1.5
156,광주,2021-08-01,1.3
156,광주,2021-09-01,1.5
156,광주,2021-10-01,1.2
156,광주,2021-11-01,1.0
156,광주,2021-12-01,1.2
279,구미,2021-01-01,1.0
279,구미,2021-02-01,1.2
279,구미,2021-03-01,1.1
279,구미,2021-04-01,1.2
279,구미,2021-05-01,1.1
279,구미,2021-06-01,0.9
279,구미,2021-07-01,0.8
279,구미,2021-08-01,0.7
279,구미,2021-09-01,0.7
279,구미,2021-10-01,0.6
279,구미,2021-11-01,0.7
279,구미,2021-12-01,1.0
140,군산,2021-01-01,2.0
140,군산,2021-02-01,2.5
140,군산,2021-03-01,1.8
140,군산,2021-04-01,2.3
140,군산,2021-05-01,2.6
140,군산,2021-06-01,2.1
140,군산,2021-07-01,1.8
140,군산,2021-08-01,1.7
140,군산,2021-09-01,1.8
140,군산,2021-10-01,1.5
140,군산,2021-11-01,2.1
140,군산,2021-12-01,2.3
238,금산,2021-01-01,1.1
238,금산,2021-02-01,1.6
238,금산,2021-03-01,1.2
238,금산,2021-04-01,1.5
238,금산,2021-05-01,1.3
238,금산,2021-06-01,1.1
238,금산,2021-07-01,1.1
238,금산,2021-08-01,0.9
238,금산,2021-09-01,1.1
238,금산,2021-10-01,0.8
238,금산,2021-11-01,1.0
238,금산,2021-12-01,1.2
253,김해시,2021-01-01,2.0
253,김해시,2021-02-01,2.2
253,김해시,2021-03-01,2.0
253,김해시,2021-04-01,2.0
253,김해시,2021-05-01,1.9
253,김해시,2021-06-01,1.4
253,김해시,2021-07-01,1.5
253,김해시,2021-08-01,1.4
253,김해시,2021-09-01,1.2
253,김해시,2021-10-01,1.4
253,김해시,2021-11-01,1.8
253,김해시,2021-12-01,2.0
247,남원,2021-01-01,1.6
247,남원,2021-02-01,1.9
247,남원,2021-03-01,1.8
247,남원,2021-04-01,2.3
247,남원,2021-05-01,2.0
247,남원,2021-06-01,1.8
247,남원,2021-07-01,1.6
247,남원,2021-08-01,1.7
247,남원,2021-09-01,2.5
247,남원,2021-10-01,1.6
247,남원,2021-11-01,1.4
247,남원,2021-12-01,1.3
295,남해,2021-01-01,1.4
295,남해,2021-02-01,1.7
295,남해,2021-03-01,1.5
295,남해,2021-04-01,1.7
295,남해,2021-05-01,1.7
295,남해,2021-06-01,1.2
295,남해,2021-07-01,1.3
295,남해,2021-08-01,1.3
295,남해,2021-09-01,1.5
295,남해,2021-10-01,1.3
295,남해,2021-11-01,1.6
295,남해,2021-12-01,1.8
100,대관령,2021-01-01,4.0
100,대관령,2021-02-01,4.6
100,대관령,2021-03-01,3.0
100,대관령,2021-04-01,3.0
100,대관령,2021-05-01,3.1
100,대관령,2021-06-01,2.3
100,대관령,2021-07-01,1.7
100,대관령,2021-08-01,1.9
100,대관령,2021-09-01,2.0
100,대관령,2021-10-01,2.0
100,대관령,2021-11-01,4.1
100,대관령,2021-12-01,4.5
143,대구,2021-01-01,2.5
143,대구,2021-02-01,2.7
143,대구,2021-03-01,2.4
143,대구,2021-04-01,2.9
143,대구,2021-05-01,2.5
143,대구,2021-06-01,2.3
143,대구,2021-07-01,2.1
143,대구,2021-08-01,1.6
143,대구,2021-09-01,2.0
143,대구,2021-10-01,1.5
143,대구,2021-11-01,2.0
143,대구,2021-12-01,2.5
133,대전,2021-01-01,1.4
133,대전,2021-02-01,1.8
133,대전,2021-03-01,1.5
133,대전,2021-04-01,1.9
133,대전,2021-05-01,1.6
133,대전,2021-06-01,1.5
133,대전,2021-07-01,1.6
133,대전,2021-08-01,1.3
133,대전,2021-09-01,1.8
133,대전,2021-10-01,1.2
133,대전,2021-11-01,1.2
133,대전,2021-12-01,1.5
98,동두천,2021-01-01,1.4
98,동두천,2021-02-01,1.9
98,동두천,2021-03-01,1.6
98,동두천,2021-04-01,1.7
98,동두천,2021-05-01,1.5
98,동두천,2021-06-01,1.1
98,동두천,2021-07-01,0.9
98,동두천,2021-08-01,0.9
98,동두천,2021-09-01,1.0
98,동두천,2021-10-01,0.9
98,동두천,2021-11-01,1.3
98,동두천,2021-12-01,1.4
106,동해,2021-01-01,2.5
106,동해,2021-02-01,2.5
106,동해,2021-03-01,2.1
106,동해,2021-04-01,2.3
106,동해,2021-05-01,2.1
106,동해,2021-06-01,1.5
106,동해,2021-07-01,1.2
106,동해,2021-08-01,1.6
106,동해,2021-09-01,1.6
106,동해,2021-10-01,1.8
106,동해,2021-11-01,2.1
106,동해,2021-12-01,2.4
165,목포,2021-01-01,3.6
165,목포,2021-02-01,4.3
165,목포,2021-03-01,3.7
165,목포,2021-04-01,3.7
165,목포,2021-05-01,3.4
165,목포,2021-06-01,2.7
165,목포,2021-07-01,2.9
165,목포,2021-08-01,2.7
165,목포,2021-09-01,2.9
165,목포,2021-10-01,3.2
165,목포,2021-11-01,3.4
165,목포,2021-12-01,4.0
273,문경,2021-01-01,2.3
273,문경,2021-02-01,2.6
273,문경,2021-03-01,1.9
273,문경,2021-04-01,2.1
273,문경,2021-05-01,1.7
273,문경,2021-06-01,1.2
273,문경,2021-07-01,1.1
273,문경,2021-08-01,0.9
273,문경,2021-09-01,1.2
273,문경,2021-10-01,1.2
273,문경,2021-11-01,1.9
273,문경,2021-12-01,2.4
288,밀양,2021-01-01,1.0
288,밀양,2021-02-01,1.1
288,밀양,2021-03-01,1.1
288,밀양,2021-04-01,1.2
288,밀양,2021-05-01,1.2
288,밀양,2021-06-01,1.0
288,밀양,2021-07-01,1.0
288,밀양,2021-08-01,1.0
288,밀양,2021-09-01,1.0
288,밀양,2021-10-01,0.8
288,밀양,2021-11-01,0.9
288,밀양,2021-12-01,1.2
102,백령도,2021-01-01,4.9
102,백령도,2021-02-01,5.2
102,백령도,2021-03-01,3.7
102,백령도,2021-04-01,4.0
102,백령도,2021-05-01,3.8
102,백령도,2021-06-01,2.9
102,백령도,2021-07-01,2.8
102,백령도,2021-08-01,2.7
102,백령도,2021-09-01,3.4
102,백령도,2021-10-01,4.1
102,백령도,2021-11-01,4.9
102,백령도,2021-12-01,5.7
235,보령,2021-01-01,1.7
235,보령,2021-02-01,2.0
235,보령,2021-03-01,1.5
235,보령,2021-04-01,1.5
235,보령,2021-05-01,1.7
235,보령,2021-06-01,1.6
235,보령,2021-07-01,1.4
235,보령,2021-08-01,1.4
235,보령,2021-09-01,1.6
235,보령,2021-10-01,1.4
