지점,지점명,일시,합계 일사량(MJ/m2)
105,강릉,2022-01-01,316.5
105,강릉,2022-02-01,407.8
105,강릉,2022-03-01,436.4
105,강릉,2022-04-01,608.2
105,강릉,2022-05-01,686.9
105,강릉,2022-06-01,521.6
105,강릉,2022-07-01,501.8
105,강릉,2022-08-01,412.6
105,강릉,2022-09-01,490.9
105,강릉,2022-10-01,357.5
105,강릉,2022-11-01,271.9
105,강릉,2022-12-01,204.7
259,강진군,2022-01-01,331.9
259,강진군,2022-02-01,392.6
259,강진군,2022-03-01,454.7
259,강진군,2022-04-01,610.2
259,강진군,2022-05-01,737.4
259,강진군,2022-06-01,531.3
259,강진군,2022-07-01,571.0
259,강진군,2022-08-01,474.0
259,강진군,2022-09-01,467.4
259,강진군,2022-10-01,484.5
259,강진군,2022-11-01,323.2
259,강진군,2022-12-01,264.4
201,강화,2022-01-01,
201,강화,2022-02-01,
201,강화,2022-03-01,
201,강화,2022-04-01,
201,강화,2022-05-01,
201,강화,2022-06-01,
201,강화,2022-07-01,
201,강화,2022-08-01,
201,강화,2022-09-01,
201,강화,2022-10-01,
201,강화,2022-11-01,
201,강화,2022-12-01,
294,거제,2022-01-01,
294,거제,2022-02-01,
294,거제,2022-03-01,
294,거제,2022-04-01,
294,거제,2022-05-01,
294,거제,2022-06-01,
294,거제,2022-07-01,
294,거제,2022-08-01,
294,거제,2022-09-01,
294,거제,2022-10-01,
294,거제,2022-11-01,
294,거제,2022-12-01,
284,거창,2022-01-01,
284,거창,2022-02-01,
284,거창,2022-03-01,
284,거창,2022-04-01,
284,거창,2022-05-01,
284,거창,2022-06-01,
284,거창,2022-07-01,
284,거창,2022-08-01,
284,거창,2022-09-01,
284,거창,2022-10-01,
284,거창,2022-11-01,
284,거창,2022-12-01,
283,경주시,2022-01-01,343.9
283,경주시,2022-02-01,414.4
283,경주시,2022-03-01,457.3
283,경주시,2022-04-01,604.9
283,경주시,2022-05-01,788.9
283,경주시,2022-06-01,593.9
283,경주시,2022-07-01,521.1
283,경주시,2022-08-01,472.6
283,경주시,2022-09-01,384.1
283,경주시,2022-10-01,399.0
283,경주시,2022-11-01,328.1
283,경주시,2022-12-01,315.1
185,고산,2022-01-01,250.2
185,고산,2022-02-01,290.4
185,고산,2022-03-01,407.5
185,고산,2022-04-01,585.0
185,고산,2022-05-01,650.8
185,고산,2022-06-01,515.6
185,고산,2022-07-01,593.7
185,고산,2022-08-01,540.2
185,고산,2022-09-01,410.2
185,고산,2022-10-01,434.4
185,고산,2022-11-01,300.4
185,고산,2022-12-01,179.7
172,고창,2022-01-01,319.7
172,고창,2022-02-01,386.4
172,고창,2022-03-01,446.7
172,고창,2022-04-01,643.5
172,고창,2022-05-01,782.1
172,고창,2022-06-01,589.2
172,고창,2022-07-01,579.4
172,고창,2022-08-01,507.2
172,고창,2022-09-01,472.3
172,고창,2022-10-01,478.8
172,고창,2022-11-01,324.1
172,고창,2022-12-01,267.7
