지점,지점명,일시,월합강수량(00~24h만)(mm)
105,강릉,2024-01-01,46.8
105,강릉,2024-02-01,175.3
105,강릉,2024-03-01,66.0
105,강릉,2024-04-01,41.9
105,강릉,2024-05-01,76.8
105,강릉,2024-06-01,93.8
105,강릉,2024-07-01,115.7
105,강릉,2024-08-01,87.2
105,강릉,2024-09-01,479.5
105,강릉,2024-10-01,167.4
105,강릉,2024-11-01,32.9
105,강릉,2024-12-01,16.9
259,강진군,2024-01-01,52.3
259,강진군,2024-02-01,163.5
259,강진군,2024-03-01,73.3
259,강진군,2024-04-01,151.4
259,강진군,2024-05-01,174.4
259,강진군,2024-06-01,228.2
259,강진군,2024-07-01,243.5
259,강진군,2024-08-01,65.5
259,강진군,2024-09-01,432.7
259,강진군,2024-10-01,127.5
259,강진군,2024-11-01,106.9
259,강진군,2024-12-01,4.0
201,강화,2024-01-01,14.1
201,강화,2024-02-01,78.1
201,강화,2024-03-01,24.8
201,강화,2024-04-01,28.4
201,강화,2024-05-01,141.0
201,강화,2024-06-01,68.3
201,강화,2024-07-01,610.3
201,강화,2024-08-01,172.4
201,강화,2024-09-01,107.1
201,강화,2024-10-01,41.9
201,강화,2024-11-01,41.8
201,강화,2024-12-01,11.3
294,거제,2024-01-01,37.2
294,거제,2024-02-01,139.9
294,거제,2024-03-01,127.3
294,거제,2024-04-01,187.6
294,거제,2024-05-01,182.6
294,거제,2024-06-01,288.2
294,거제,2024-07-01,383.0
294,거제,2024-08-01,109.5
294,거제,2024-09-01,390.9
294,거제,2024-10-01,238.8
294,거제,2024-11-01,128.4
294,거제,2024-12-01,0.0
284,거창,2024-01-01,29.8
284,거창,2024-02-01,117.8
284,거창,2024-03-01,79.4
284,거창,2024-04-01,98.4
284,거창,2024-05-01,92.3
284,거창,2024-06-01,146.2
284,거창,2024-07-01,321.8
284,거창,2024-08-01,49.2
284,거창,2024-09-01,143.7
284,거창,2024-10-01,94.4
284,거창,2024-11-01,52.6
284,거창,2024-12-01,0.4
283,경주시,2024-01-01,31.8
283,경주시,2024-02-01,71.5
283,경주시,2024-03-01,73.7
283,경주시,2024-04-01,65.4
283,경주시,2024-05-01,46.5
283,경주시,2024-06-01,73.8
283,경주시,2024-07-01,223.9
283,경주시,2024-08-01,113.9
283,경주시,2024-09-01,228.3
283,경주시,2024-10-01,100.8
283,경주시,2024-11-01,55.8
283,경주시,2024-12-01,0.4
185,고산,2024-01-01,40.1
185,고산,2024-02-01,94.9
185,고산,2024-03-01,74.8
185,고산,2024-04-01,118.8
185,고산,2024-05-01,135.3
185,고산,2024-06-01,375.3
185,고산,2024-07-01,66.7
185,고산,2024-08-01,61.7
185,고산,2024-09-01,104.0
185,고산,2024-10-01,110.4
185,고산,2024-11-01,229.3
185,고산,2024-12-01,3.8
172,고창,2024-01-01,48.4
172,고창,2024-02-01,97.1
172,고창,2024-03-01,61.3
172,고창,2024-04-01,64.5
172,고창,2024-05-01,88.1
172,고창,2024-06-01,100.4
172,고창,2024-07-01,291.4
172,고창,2024-08-01,49.6
172,고창,2024-09-01,165.7
172,고창,2024-10-01,89.2
172,고창,2024-11-01,55.0
172,고창,2024-12-01,18.5
251,고창군,2024-01-01,48.1
251,고창군,2024-02-01,87.8
251,고창군,2024-03-01,58.7
251,고창군,2024-04-01,63.9
251,고창군,2024-05-01,81.0
251,고창군,2024-06-01,82.6
251,고창군,2024-07-01,287.2
251,고창군,2024-08-01,55.9
251,고창군,2024-09-01,165.1
251,고창군,2024-10-01,110.6
251,고창군,2024-11-01,64.5
251,고창군,2024-12-01,30.7
262,고흥,2024-01-01,38.5
262,고흥,2024-02-01,149.5
