지점,지점명,일시,일조율(%)
105,강릉,2024-01-01,65.5
105,강릉,2024-02-01,30.5
105,강릉,2024-03-01,55.0
105,강릉,2024-04-01,53.6
105,강릉,2024-05-01,58.7
105,강릉,2024-06-01,61.8
105,강릉,2024-07-01,34.0
105,강릉,2024-08-01,55.1
105,강릉,2024-09-01,30.5
105,강릉,2024-10-01,41.0
105,강릉,2024-11-01,51.7
105,강릉,2024-12-01,73.2
259,강진군,2024-01-01,45.0
259,강진군,2024-02-01,32.3
259,강진군,2024-03-01,48.9
259,강진군,2024-04-01,45.0
259,강진군,2024-05-01,57.4
259,강진군,2024-06-01,41.8
259,강진군,2024-07-01,24.4
259,강진군,2024-08-01,60.3
259,강진군,2024-09-01,53.2
259,강진군,2024-10-01,37.3
259,강진군,2024-11-01,46.0
259,강진군,2024-12-01,50.5
201,강화,2024-01-01,59.2
201,강화,2024-02-01,41.3
201,강화,2024-03-01,56.3
201,강화,2024-04-01,52.1
201,강화,2024-05-01,52.8
201,강화,2024-06-01,62.0
201,강화,2024-07-01,18.5
201,강화,2024-08-01,51.8
201,강화,2024-09-01,48.7
201,강화,2024-10-01,52.8
201,강화,2024-11-01,60.4
201,강화,2024-12-01,64.4
294,거제,2024-01-01,53.0
294,거제,2024-02-01,29.2
294,거제,2024-03-01,51.2
294,거제,2024-04-01,39.0
294,거제,2024-05-01,61.6
294,거제,2024-06-01,45.3
294,거제,2024-07-01,25.1
294,거제,2024-08-01,59.1
294,거제,2024-09-01,44.7
294,거제,2024-10-01,39.1
294,거제,2024-11-01,47.8
294,거제,2024-12-01,63.2
284,거창,2024-01-01,65.2
284,거창,2024-02-01,37.7
284,거창,2024-03-01,56.3
284,거창,2024-04-01,46.3
284,거창,2024-05-01,65.5
284,거창,2024-06-01,54.2
284,거창,2024-07-01,35.9
284,거창,2024-08-01,58.1
284,거창,2024-09-01,44.9
284,거창,2024-10-01,39.6
284,거창,2024-11-01,52.4
284,거창,2024-12-01,67.3
283,경주시,2024-01-01,63.7
283,경주시,2024-02-01,29.4
283,경주시,2024-03-01,54.6
283,경주시,2024-04-01,45.8
283,경주시,2024-05-01,61.6
283,경주시,2024-06-01,49.2
283,경주시,2024-07-01,42.6
283,경주시,2024-08-01,56.4
283,경주시,2024-09-01,39.5
283,경주시,2024-10-01,36.2
283,경주시,2024-11-01,49.3
283,경주시,2024-12-01,73.2
185,고산,2024-01-01,32.2
185,고산,2024-02-01,20.3
185,고산,2024-03-01,40.6
185,고산,2024-04-01,37.7
185,고산,2024-05-01,58.7
185,고산,2024-06-01,31.1
185,고산,2024-07-01,32.4
185,고산,2024-08-01,68.3
185,고산,2024-09-01,61.5
185,고산,2024-10-01,37.9
185,고산,2024-11-01,44.6
185,고산,2024-12-01,30.4
172,고창,2024-01-01,44.2
172,고창,2024-02-01,34.0
172,고창,2024-03-01,51.3
172,고창,2024-04-01,48.3
172,고창,2024-05-01,53.6
172,고창,2024-06-01,49.0
172,고창,2024-07-01,33.3
172,고창,2024-08-01,64.8
172,고창,2024-09-01,55.6
172,고창,2024-10-01,44.9
172,고창,2024-11-01,52.0
172,고창,2024-12-01,41.7
251,고창군,2024-01-01,39.4
251,고창군,2024-02-01,32.3
251,고창군,2024-03-01,47.6
251,고창군,2024-04-01,43.7
251,고창군,2024-05-01,56.3
251,고창군,2024-06-01,41.2
251,고창군,2024-07-01,23.5
251,고창군,2024-08-01,51.0
251,고창군,2024-09-01,47.4
251,고창군,2024-10-01,39.1
251,고창군,2024-11-01,46.4
251,고창군,2024-12-01,37.7
262,고흥,2024-01-01,54.0
262,고흥,2024-02-01,34.3
262,고흥,2024-03-01,51.6
262,고흥,2024-04-01,42.2
262,고흥,2024-05-01,60.7
262,고흥,2024-06-01,43.5
262,고흥,2024-07-01,32.9
262,고흥,2024-08-01,63.2
262,고흥,2024-09-01,48.7
262,고흥,2024-10-01,43.4
262,고흥,2024-11-01,48.8
262,고흥,2024-12-01,61.4
266,광양시,2024-01-01,59.7
266,광양시,2024-02-01,36.7
266,광양시,2024-03-01,54.4
266,광양시,2024-04-01,43.0
266,광양시,2024-05-01,61.4
266,광양시,2024-06-01,46.9
266,광양시,2024-07-01,31.1
266,광양시,2024-08-01,61.8
266,광양시,2024-09-01,51.4
266,광양시,2024-10-01,41.8
266,광양시,2024-11-01,42.0
266,광양시,2024-12-01,60.1
156,광주,2024-01-01,50.9
156,광주,2024-02-01,36.4
156,광주,2024-03-01,54.1
156,광주,2024-04-01,47.6
156,광주,2024-05-01,64.5
156,광주,2024-06-01,50.4
156,광주,2024-07-01,31.6
156,광주,2024-08-01,59.2
156,광주,2024-09-01,50.3
156,광주,2024-10-01,44.6
156,광주,2024-11-01,54.1
156,광주,2024-12-01,53.7
279,구미,2024-01-01,54.4
279,구미,2024-02-01,29.2
279,구미,2024-03-01,49.7
279,구미,2024-04-01,48.6
279,구미,2024-05-01,60.2
279,구미,2024-06-01,56.2
279,구미,2024-07-01,33.8
279,구미,2024-08-01,60.1
279,구미,2024-09-01,44.8
