지점,지점명,일시,합계 일조시간(hr)
105,강릉,2024-01-01,200.6
105,강릉,2024-02-01,95.6
105,강릉,2024-03-01,204.3
105,강릉,2024-04-01,212.4
105,강릉,2024-05-01,259.0
105,강릉,2024-06-01,273.3
105,강릉,2024-07-01,152.4
105,강릉,2024-08-01,231.9
105,강릉,2024-09-01,113.6
105,강릉,2024-10-01,142.4
105,강릉,2024-11-01,157.5
105,강릉,2024-12-01,218.3
259,강진군,2024-01-01,141.4
259,강진군,2024-02-01,102.5
259,강진군,2024-03-01,181.8
259,강진군,2024-04-01,176.5
259,강진군,2024-05-01,248.9
259,강진군,2024-06-01,181.3
259,강진군,2024-07-01,107.7
259,강진군,2024-08-01,251.0
259,강진군,2024-09-01,197.8
259,강진군,2024-10-01,126.5
259,강진군,2024-11-01,143.0
259,강진군,2024-12-01,155.1
201,강화,2024-01-01,164.4
201,강화,2024-02-01,129.3
201,강화,2024-03-01,209.3
201,강화,2024-04-01,206.3
201,강화,2024-05-01,233.0
201,강화,2024-06-01,274.3
201,강화,2024-07-01,83.0
201,강화,2024-08-01,218.0
201,강화,2024-09-01,181.3
201,강화,2024-10-01,183.6
201,강화,2024-11-01,183.9
201,강화,2024-12-01,192.2
294,거제,2024-01-01,166.1
294,거제,2024-02-01,92.7
294,거제,2024-03-01,190.4
294,거제,2024-04-01,122.8
294,거제,2024-05-01,267.6
294,거제,2024-06-01,196.8
294,거제,2024-07-01,110.8
294,거제,2024-08-01,246.2
294,거제,2024-09-01,166.2
294,거제,2024-10-01,137.1
294,거제,2024-11-01,148.4
294,거제,2024-12-01,193.0
284,거창,2024-01-01,203.1
284,거창,2024-02-01,119.2
284,거창,2024-03-01,209.3
284,거창,2024-04-01,182.4
284,거창,2024-05-01,285.8
284,거창,2024-06-01,236.6
284,거창,2024-07-01,159.1
284,거창,2024-08-01,242.5
284,거창,2024-09-01,166.9
284,거창,2024-10-01,138.3
284,거창,2024-11-01,161.8
284,거창,2024-12-01,204.7
283,경주시,2024-01-01,198.4
283,경주시,2024-02-01,93.0
283,경주시,2024-03-01,203.1
283,경주시,2024-04-01,180.5
283,경주시,2024-05-01,260.1
283,경주시,2024-06-01,215.1
283,경주시,2024-07-01,189.2
283,경주시,2024-08-01,235.9
283,경주시,2024-09-01,142.3
283,경주시,2024-10-01,126.5
283,경주시,2024-11-01,152.3
283,경주시,2024-12-01,221.8
185,고산,2024-01-01,101.9
185,고산,2024-02-01,64.7
185,고산,2024-03-01,151.2
185,고산,2024-04-01,147.4
185,고산,2024-05-01,252.9
185,고산,2024-06-01,133.7
185,고산,2024-07-01,141.7
185,고산,2024-08-01,282.6
185,고산,2024-09-01,228.0
185,고산,2024-10-01,133.4
185,고산,2024-11-01,140.0
185,고산,2024-12-01,94.3
172,고창,2024-01-01,138.1
172,고창,2024-02-01,107.7
172,고창,2024-03-01,190.9
172,고창,2024-04-01,189.9
172,고창,2024-05-01,126.8
172,고창,2024-06-01,206.0
172,고창,2024-07-01,137.8
172,고창,2024-08-01,253.2
172,고창,2024-09-01,206.7
172,고창,2024-10-01,157.2
172,고창,2024-11-01,161.0
172,고창,2024-12-01,127.1
251,고창군,2024-01-01,123.1
251,고창군,2024-02-01,102.4
251,고창군,2024-03-01,177.1
251,고창군,2024-04-01,171.9
251,고창군,2024-05-01,245.2
251,고창군,2024-06-01,179.4
251,고창군,2024-07-01,103.9
251,고창군,2024-08-01,213.0
251,고창군,2024-09-01,176.3
251,고창군,2024-10-01,136.9
251,고창군,2024-11-01,143.8
251,고창군,2024-12-01,114.9
262,고흥,2024-01-01,169.4
262,고흥,2024-02-01,108.7
262,고흥,2024-03-01,192.0
262,고흥,2024-04-01,165.8
262,고흥,2024-05-01,263.4
262,고흥,2024-06-01,188.6
262,고흥,2024-07-01,145.1
262,고흥,2024-08-01,263.0
262,고흥,2024-09-01,180.9
262,고흥,2024-10-01,152.3
262,고흥,2024-11-01,151.8
262,고흥,2024-12-01,188.3
266,광양시,2024-01-01,187.2
266,광양시,2024-02-01,116.5
266,광양시,2024-03-01,202.2
266,광양시,2024-04-01,168.9
266,광양시,2024-05-01,266.6
266,광양시,2024-06-01,203.7
266,광양시,2024-07-01,137.3
266,광양시,2024-08-01,257.3
266,광양시,2024-09-01,191.2
266,광양시,2024-10-01,141.8
266,광양시,2024-11-01,130.3
266,광양시,2024-12-01,183.7
156,광주,2024-01-01,159.3
156,광주,2024-02-01,115.3
156,광주,2024-03-01,195.0
156,광주,2024-04-01,180.8
156,광주,2024-05-01,271.3
156,광주,2024-06-01,219.2
156,광주,2024-07-01,130.5
156,광주,2024-08-01,247.0
156,광주,2024-09-01,187.1
156,광주,2024-10-01,156.1
156,광주,2024-11-01,167.7
156,광주,2024-12-01,158.4
279,구미,2024-01-01,169.1
279,구미,2024-02-01,92.1
279,구미,2024-03-01,184.8
279,구미,2024-04-01,191.4
279,구미,2024-05-01,263.4
279,구미,2024-06-01,229.5
279,구미,2024-07-01,145.5
279,구미,2024-08-01,251.3
279,구미,2024-09-01,166.8
279,구미,2024-10-01,138.2
279,구미,2024-11-01,153.1
279,구미,2024-12-01,182.3
140,군산,2024-01-01,151.0
140,군산,2024-02-01,113.7
140,군산,2024-03-01,203.5
140,군산,2024-04-01,191.7
140,군산,2024-05-01,260.4
140,군산,2024-06-01,239.4
140,군산,2024-07-01,127.8
140,군산,2024-08-01,240.8
140,군산,2024-09-01,204.5
140,군산,2024-10-01,152.7
140,군산,2024-11-01,172.6
