광역,기초,에너지원,생산량(toe),발전량(MWh),보급용량_발전_누적(kW),보급용량_발전_신규(kW)
서울,서울,신·재생에너지,319589.1819,755498,382737,29172
서울,종로구,신·재생에너지,3339.048917,6889,6361,208
서울,중구,신·재생에너지,2696.419149,3041,2848,122
서울,용산구,신·재생에너지,3071.689578,4096,2831,54
서울,성동구,신·재생에너지,4873.10961,11090,9023,350
서울,광진구,신·재생에너지,5788.059472,12843,10517,389
서울,동대문구,신·재생에너지,5881.912109,12800,9307,333
서울,중랑구,신·재생에너지,5813.290844,11619,10124,309
서울,성북구,신·재생에너지,6350.872759,9714,9416,225
서울,강북구,신·재생에너지,4126.67613,7229,6956,610
서울,도봉구,신·재생에너지,5211.660245,8515,7306,260
서울,노원구,신·재생에너지,19360.2673,28813,24475,515
서울,은평구,신·재생에너지,8192.40913,12979,11694,420
서울,서대문구,신·재생에너지,5062.508969,8576,7697,192
서울,마포구,신·재생에너지,41517.42418,98663,39052,143
서울,양천구,신·재생에너지,14285.57175,13700,9387,163
서울,강서구,신·재생에너지,18618.18935,50234,27634,641
서울,구로구,신·재생에너지,6482.459973,11449,10408,410
서울,금천구,신·재생에너지,4700.028379,11334,7858,332
서울,영등포구,신·재생에너지,7017.73521,11766,8573,191
서울,동작구,신·재생에너지,5093.208401,5896,6139,200
서울,관악구,신·재생에너지,7254.872357,13529,11769,599
서울,서초구,신·재생에너지,7460.622571,9596,10071,367
서울,강남구,신·재생에너지,38484.17422,43199,31566,298
서울,송파구,신·재생에너지,14041.2647,20516,17940,1670
서울,강동구,신·재생에너지,71994.5488,318272,77294,20169
서울,기타,신·재생에너지,2871.157816,9137,6489,0
부산,부산,신·재생에너지,269206.4197,738393,408578,48609
부산,중구,신·재생에너지,867.2319084,1636,1289,187
부산,서구,신·재생에너지,2492.03519,4198,3384,273
부산,동구,신·재생에너지,2245.549951,4861,3990,133
부산,영도구,신·재생에너지,3302.093783,7210,6366,624
부산,부산진구,신·재생에너지,5712.166567,6687,5461,332
부산,동래구,신·재생에너지,6838.275402,7777,7099,810
부산,남구,신·재생에너지,19431.01914,15993,12397,2864
부산,북구,신·재생에너지,5172.284673,8399,7218,244
부산,해운대구,신·재생에너지,61010.98155,240126,40385,418
부산,사하구,신·재생에너지,17762.23845,31010,22697,2432
부산,금정구,신·재생에너지,7074.375141,19534,16053,1066
부산,강서구,신·재생에너지,109632.5688,313979,216440,23190
부산,연제구,신·재생에너지,3747.93126,5415,4450,634
부산,수영구,신·재생에너지,2995.917567,4239,3608,195
부산,사상구,신·재생에너지,4892.788816,10045,8335,158
부산,기장군,신·재생에너지,15623.42039,56401,48699,15050
부산,기타,신·재생에너지,405.5410622,884,708,0
대구,대구,신·재생에너지,244372.2741,560890,465648,60452
대구,중구,신·재생에너지,1751.820969,1958,1643,322
대구,동구,신·재생에너지,15509.15711,35722,30255,4382
대구,서구,신·재생에너지,5529.947502,11364,12278,2613
대구,남구,신·재생에너지,3500.164809,6871,5108,227
대구,북구,신·재생에너지,18282.97603,37952,35835,9047
대구,수성구,신·재생에너지,10193.48185,17506,14981,3835
대구,달서구,신·재생에너지,69105.0091,91528,73606,14407
대구,달성군,신·재생에너지,71370.04485,139451,125809,18051
대구,군위군,신·재생에너지,48441.21688,216715,164738,7568
대구,기타,신·재생에너지,688.4550101,1824,1394,0
인천,인천,신·재생에너지,615595.9149,1966319,791569,35514
인천,중구,신·재생에너지,47821.5501,69372,56408,1999
인천,동구,신·재생에너지,70413.55005,326515,41479,228
인천,미추홀구,신·재생에너지,61694.16273,29304,17417,509
인천,연수구,신·재생에너지,30071.0379,24036,18737,1183
인천,남동구,신·재생에너지,22621.31682,34031,29798,5876
인천,부평구,신·재생에너지,9721.882523,9486,8516,1684
인천,계양구,신·재생에너지,6183.401134,9187,8124,871
인천,서구,신·재생에너지,336833.9355,1349493,316021,14160
인천,강화군,신·재생에너지,15387.57458,55401,47640,6901
인천,옹진군,신·재생에너지,13861.03547,58091,246231,2102
인천,기타,신·재생에너지,986.4680928,1401,1197,0
광주,광주,신·재생에너지,156924.9119,598721,394316,44096
광주,동구,신·재생에너지,5695.573343,17530,14283,2525
광주,서구,신·재생에너지,35908.73176,144515,48005,1672
광주,남구,신·재생에너지,10703.92765,30416,25298,2807
광주,북구,신·재생에너지,24550.6263,75583,65046,8106
광주,광산구,신·재생에너지,79087.78043,327599,239071,28987
광주,기타,신·재생에너지,978.2723994,3077,2613,0
대전,대전,신·재생에너지,111260.4258,225941,151759,19870
대전,동구,신·재생에너지,7249.220325,16655,16202,3788
대전,중구,신·재생에너지,5846.026397,11853,10213,620
대전,서구,신·재생에너지,11692.71846,22053,25377,4181
대전,유성구,신·재생에너지,43211.87087,108078,52643,3615
대전,대덕구,신·재생에너지,42640.42983,65481,45896,7665
대전,기타,신·재생에너지,620.1598778,1822,1427,0
울산,울산,신·재생에너지,470922.6981,692284,245436,39199
울산,중구,신·재생에너지,6155.845941,6015,10510,1807
울산,남구,신·재생에너지,143752.8511,83304,40144,4005
울산,동구,신·재생에너지,6043.336736,6988,9414,314
울산,북구,신·재생에너지,45958.51967,197973,51105,12970
울산,울주군,신·재생에너지,268651.2492,397264,133589,20103
울산,기타,신·재생에너지,360.8954785,741,673,0
세종,세종,신·재생에너지,107440.466,171556,123135,12201
경기,경기,신·재생에너지,1869584.423,5672313,3090362,311615
경기,수원시,신·재생에너지,42056.19795,52059,46530,2355
경기,성남시,신·재생에너지,96847.43401,181496,64877,1353
경기,의정부시,신·재생에너지,19363.83518,20375,16414,2435
경기,안양시,신·재생에너지,25342.36845,46213,18636,439
경기,부천시,신·재생에너지,38797.23735,96988,29668,1456
경기,광명시,신·재생에너지,16300.73043,30551,17167,626
경기,평택시,신·재생에너지,133385.7484,483720,193709,16031
경기,동두천시,신·재생에너지,36203.86887,18385,13151,415
경기,안산시,신·재생에너지,184992.3988,532946,327892,10602
경기,고양시,신·재생에너지,52562.01949,106442,69896,7470
경기,과천시,신·재생에너지,3705.819048,2684,2657,411
경기,구리시,신·재생에너지,8847.292486,8128,6735,265
경기,남양주시,신·재생에너지,107442.2526,429930,168442,7565
경기,오산시,신·재생에너지,19923.43027,19303,16825,1886
경기,시흥시,신·재생에너지,60027.8503,101647,61960,9562
경기,군포시,신·재생에너지,9554.855314,7522,6351,564
경기,의왕시,신·재생에너지,21552.73682,88626,17151,542
경기,하남시,신·재생에너지,10067.36878,15739,15503,1083
경기,용인시,신·재생에너지,71648.46653,93589,86321,10561
경기,파주시,신·재생에너지,61258.43907,182107,124986,21709
경기,이천시,신·재생에너지,74070.56481,284232,190629,16129
경기,안성시,신·재생에너지,48263.48635,194063,176065,31400
경기,김포시,신·재생에너지,30281.2425,94946,90304,18275
경기,화성시,신·재생에너지,275088.7485,1145146,408838,40287
경기,광주시,신·재생에너지,40782.75726,143243,70887,9757
경기,양주시,신·재생에너지,35855.02427,60839,55684,6996
경기,포천시,신·재생에너지,118062.4455,325936,152233,21920
경기,여주시,신·재생에너지,63797.592,278310,193357,20058
경기,연천군,신·재생에너지,54527.87975,209938,192917,36026
경기,가평군,신·재생에너지,80021.36157,344564,188915,3776
경기,양평군,신·재생에너지,22915.46229,65628,59987,9663
경기,기타,신·재생에너지,6037.50821,7015,5672,0
강원,강원,신·재생에너지,1769329.646,6510882,3743305,343474
강원,춘천시,신·재생에너지,197145.9499,864416,436728,36985
강원,원주시,신·재생에너지,65268.13921,218941,184020,22947
강원,강릉시,신·재생에너지,434496.7271,1814845,664075,106633
강원,동해시,신·재생에너지,199718.868,411030,148733,5651
강원,태백시,신·재생에너지,98591.89127,449872,264327,439
강원,속초시,신·재생에너지,8502.741549,20489,13345,1366
강원,삼척시,신·재생에너지,145706.7445,338685,276413,40166
강원,홍천군,신·재생에너지,49876.48578,194100,163888,16544
강원,횡성군,신·재생에너지,41503.59908,172310,124831,9320
강원,영월군,신·재생에너지,122840.171,337602,208636,30926
강원,평창군,신·재생에너지,118642.1669,506683,321487,19711
강원,정선군,신·재생에너지,40634.42014,169364,124589,4057
강원,철원군,신·재생에너지,52888.06627,223983,196626,9111
강원,화천군,신·재생에너지,70701.10328,313930,210582,3578
강원,양구군,신·재생에너지,28632.58199,117122,104165,14798
강원,인제군,신·재생에너지,40514.95878,148878,124481,6664
강원,고성군,신·재생에너지,38561.12756,166429,138729,8861
강원,양양군,신·재생에너지,11345.38634,37954,34577,5719
강원,기타,신·재생에너지,3758.517251,4250,3071,0
충북,충북,신·재생에너지,1013944.176,3261546,2214670,210555
충북,충주시,신·재생에너지,224156.0056,989512,602232,13252
충북,제천시,신·재생에너지,75546.48885,143350,115953,11639
충북,청주시,신·재생에너지,256826.3251,753731,454204,46281
충북,보은군,신·재생에너지,44321.70212,185221,149560,14160
충북,옥천군,신·재생에너지,44252.6503,184079,153999,19001
