지점명,위도,경도
속초,38.2043,128.5912
북춘천,37.9474,127.7549
철원,38.146,127.3135
동두천,37.9016,127.061
파주,37.7599,126.78
대관령,37.6771,128.7182
춘천,37.8813,127.7298
백령도,37.967,124.63
북강릉,37.802,128.855
강릉,37.7519,128.8761
동해,37.509,129.1235
서울,37.5665,126.978
인천,37.4563,126.7052
원주,37.3422,127.9202
울릉도,37.4866,130.9051
수원,37.2636,127.0286
영월,37.1838,128.46
충주,36.9714,127.9526
서산,36.781,126.451
울진,36.993,129.4098
청주,36.6424,127.489
대전,36.3504,127.3845
추풍령,36.219,128.0
안동,36.5683,128.7294
상주,36.415,128.16
포항,36.019,129.343
군산,35.9677,126.7365
대구,35.8714,128.6014
전주,35.8242,127.148
울산,35.5384,129.3114
창원,35.228,128.681
광주,35.1595,126.8526
부산,35.1796,129.0756
통영,34.8544,128.4337
목포,34.8118,126.3922
여수,34.7604,127.6622
흑산도,34.6853,125.4505
완도,34.3121,126.7555
고창,35.435,126.7073
순천,34.95,127.487
홍성,36.601,126.662
서청주,36.6424,127.489
제주,33.4996,126.5312
고산,33.2939,126.1628
성산,33.3855,126.8807
서귀포,33.2541,126.56
진주,35.18,128.108
강화,37.7079,126.4462
양평,37.4916,127.4871
이천,37.2796,127.442
인제,38.0685,128.1703
홍천,37.6919,127.8802
태백,37.1642,128.9856
정선군,37.38,128.66
제천,37.1326,128.2005
보은,36.489,127.729
천안,36.815,127.155
보령,36.3333,126.6125
부여,36.273,126.909
금산,36.104,127.488
세종,36.4801,127.2892
부안,35.729,126.733
임실,35.613,127.289
정읍,35.5677,126.85
남원,35.416,127.39
장수,35.6483,127.5211
고창군,35.435,126.7073
영광군,35.277,126.509
김해시,35.228,128.889
순창군,35.371,127.138
북창원,35.2496,128.5978
양산시,35.3342,129.037
보성군,34.768,127.081
강진군,34.642,126.768
장흥,34.681,126.907
해남,34.571,126.598
고흥,34.6072,127.2892
의령군,35.321,128.261
함양군,35.52,127.725
광양시,34.9406,127.6955
진도군,34.4854,126.2646
봉화,36.943,128.916
영주,36.8056,128.6244
문경,36.5945,128.1992
청송군,36.435,129.057
영덕,36.415,129.365
의성,36.3522,128.6972
구미,36.107,128.3886
영천,35.9733,128.938
경주시,35.8562,129.2247
거창,35.6863,127.9096
합천,35.5669,128.1656
밀양,35.5039,128.746
산청,35.4154,127.8732
거제,34.8809,128.6218
남해,34.8371,127.8924
북부산,35.1796,129.0756
