광역,기초,에너지원,생산량(toe),발전량(MWh),보급용량_발전_누적(kW),보급용량_발전_신규(kW)
서울,서울,태양광,61635.37355,272765,247791,8432
서울,종로구,태양광,1501.178708,6571,6311,203
서울,중구,태양광,661.4920529,2901,2806,80
서울,용산구,태양광,765.5822413,3352,2719,54
서울,성동구,태양광,2419.547667,10864,8989,350
서울,광진구,태양광,2832.753144,12577,10477,389
서울,동대문구,태양광,2038.653421,8955,8212,333
서울,중랑구,태양광,2589.422338,11546,10113,309
서울,성북구,태양광,2140.639061,9395,9368,225
서울,강북구,태양광,1640.790056,7229,6956,610
서울,도봉구,태양광,1900.488469,8385,7283,253
서울,노원구,태양광,2676.999984,11864,12561,502
서울,은평구,태양광,2879.860324,12653,11645,420
서울,서대문구,태양광,1929.322378,8479,7683,192
서울,마포구,태양광,1537.128411,6756,7996,143
서울,양천구,태양광,1758.853648,7726,6887,163
서울,강서구,태양광,5832.579009,26180,21721,605
서울,구로구,태양광,2539.487084,11167,10363,405
서울,금천구,태양광,1971.919389,8694,7537,332
서울,영등포구,태양광,2123.111442,9329,8414,191
서울,동작구,태양광,1236.336933,5436,5820,200
서울,관악구,태양광,3050.089394,13388,11743,594
서울,서초구,태양광,2129.329178,9400,10041,366
서울,강남구,태양광,2800.471539,12402,11062,298
서울,송파구,태양광,4398.926928,19418,17007,870
서울,강동구,태양광,4744.415956,21388,18028,343
서울,기타,태양광,1535.994798,6707,6049,0
부산,부산,태양광,79954.9362,366024,317737,47609
부산,중구,태양광,369.9131073,1632,1286,187
부산,서구,태양광,944.393061,4132,3374,273
부산,동구,태양광,1075.543277,4782,3978,133
부산,영도구,태양광,1636.408964,7176,6361,624
부산,부산진구,태양광,1450.175241,6374,5414,332
부산,동래구,태양광,1712.419472,7572,7063,810
부산,남구,태양광,2554.617235,11531,11717,2854
부산,북구,태양광,1838.412069,8166,7183,244
부산,해운대구,태양광,1730.716893,7667,6700,418
부산,사하구,태양광,4896.196252,22415,20052,2432
부산,금정구,태양광,4240.476489,19152,15938,1036
부산,강서구,태양광,40708.7008,189158,163047,22312
부산,연제구,태양광,1119.699266,4910,4344,574
부산,수영구,태양광,951.94232,4173,3587,177
부산,사상구,태양광,2231.711795,9959,8322,158
부산,기장군,태양광,12295.62517,56360,48666,15046
부산,기타,태양광,197.9847919,865,705,0
대구,대구,태양광,107835.9387,497336,420080,57422
대구,중구,태양광,445.6896233,1958,1643,322
대구,동구,태양광,7450.794287,33580,29828,4382
대구,서구,태양광,2424.987957,11032,10728,2613
대구,남구,태양광,1529.759583,6724,5086,227
대구,북구,태양광,8230.353285,37314,34789,9047
대구,수성구,태양광,2873.001706,12722,11392,835
대구,달서구,태양광,15365.92106,70756,62766,14407
대구,달성군,태양광,26423.88761,121921,109780,18021
대구,군위군,태양광,42688.73012,199570,152688,7568
대구,기타,태양광,402.8134654,1759,1379,0
인천,인천,태양광,59178.0054,267782,252181,35463
인천,중구,태양광,8920.061051,40328,40351,1999
인천,동구,태양광,436.3792327,1959,1854,228
인천,미추홀구,태양광,2056.577047,9078,9230,509
인천,연수구,태양광,3689.092325,16281,15589,1172
인천,남동구,태양광,7288.247116,32857,29321,5856
인천,부평구,태양광,2122.932365,9420,8496,1664
